hour,day,hour_of_day,baseline_load,plotted_target_load,rllib_independent_ppo,rllib_sac
31,2,7,192.1754302978516,103.26987717391668,175.67343616485596,141.3665030002594
32,2,8,187.8960723876953,103.26987717391668,129.6414783000946,97.6518816947937
33,2,9,198.0422821044922,103.26987717391668,114.26773643493652,80.34426641464233
34,2,10,202.27044677734372,103.26987717391668,74.50309705734253,44.175955414772034
35,2,11,199.45538330078125,103.26987717391668,50.137603521347046,11.633363842964172
36,2,12,174.63572692871094,103.26987717391668,36.26658487319946,4.173558235168457
37,2,13,171.51718139648438,103.26987717391668,58.81138968467712,28.292317032814022
38,2,14,164.59356689453125,103.26987717391668,106.90592610836028,70.48558175563812
39,2,15,159.27484130859375,103.26987717391668,186.0927083492279,136.04521489143372
40,2,16,192.863525390625,103.26987717391668,204.5565633773804,154.70147597789764
41,2,17,193.32672119140625,103.26987717391668,216.61926794052124,156.19374918937683
42,2,18,199.3632049560547,103.26987717391668,227.8973767757416,171.03278827667236
43,2,19,210.6775054931641,103.26987717391668,256.3214523792267,197.37849628925323
44,2,20,245.0757598876953,103.26987717391668,222.0363067984581,167.66826903820038
45,2,21,202.97161865234372,103.26987717391668,231.8116216659546,172.64623725414276
46,2,22,206.70538330078125,103.26987717391668,222.57748007774356,159.92540371418
47,2,23,189.5101776123047,103.26987717391668,226.6374592781067,161.12457072734833
48,3,0,194.20797729492188,121.463727324625,231.3239164352417,166.73993182182312
49,3,1,195.23370361328125,121.463727324625,230.84219694137573,162.5931499004364
50,3,2,203.08139038085935,121.463727324625,234.359384059906,165.31033742427826
51,3,3,209.06427001953125,121.463727324625,234.0530891418457,161.50485253334045
52,3,4,212.8380584716797,121.463727324625,237.7273097038269,167.86613762378693
53,3,5,221.72705078125,121.463727324625,239.16546297073364,168.20091223716736
54,3,6,230.3590240478516,121.463727324625,245.0900273323059,177.46250212192535
55,3,7,242.30889892578125,121.463727324625,249.2200222015381,178.14515256881714
56,3,8,253.93865966796875,121.463727324625,236.6039843559265,181.3379236459732
57,3,9,263.4026794433594,121.463727324625,128.63662457466123,85.46104097366333
58,3,10,207.1092834472656,121.463727324625,75.78695225715637,36.87969517707825
59,3,11,174.13238525390625,121.463727324625,45.87698531150818,10.211564540863035
60,3,12,171.17733764648438,121.463727324625,40.73112070560455,24.475675582885746
61,3,13,149.13516235351562,121.463727324625,43.39776527881622,20.972991347312927
62,3,14,136.5680389404297,121.463727324625,78.51922190189362,57.45367980003357
63,3,15,132.8927459716797,121.463727324625,123.33266687393188,98.37504613399506
64,3,16,136.6708984375,121.463727324625,166.6406307220459,129.83649909496307
65,3,17,154.109375,121.463727324625,167.81129956245422,125.57828831672668
66,3,18,145.22459411621094,121.463727324625,171.16855359077454,127.61685180664062
67,3,19,147.2263641357422,121.463727324625,167.97378027439115,125.9426884651184
68,3,20,142.48736572265625,121.463727324625,162.9883692264557,123.60334289073944
69,3,21,134.16885375976562,121.463727324625,159.1475305557251,127.39601218700408
70,3,22,127.82412719726562,121.463727324625,151.85163116455078,116.25851035118104
71,3,23,116.21395111083984,121.463727324625,148.91317200660706,110.42104840278624
72,4,0,117.5577163696289,72.06773195127501,146.59114408493042,107.7264815568924
73,4,1,115.8204574584961,72.06773195127501,145.57175278663635,112.39898943901062
74,4,2,116.86923217773438,72.06773195127501,143.54088163375854,108.61884582042694
75,4,3,108.60031127929688,72.06773195127501,139.62855648994446,110.90441691875458
76,4,4,110.2877960205078,72.06773195127501,140.05053210258484,108.33621287345886
77,4,5,115.12201690673828,72.06773195127501,133.51668643951416,105.72796607017516
78,4,6,109.3507843017578,72.06773195127501,135.93540155887604,115.64659547805786
79,4,7,127.7734832763672,72.06773195127501,121.71254897117616,104.00723898410796
80,4,8,137.87632751464844,72.06773195127501,107.54377460479736,86.57918131351471
81,4,9,134.03317260742188,72.06773195127501,126.3772132396698,103.71874678134918
82,4,10,136.14060974121094,72.06773195127501,87.71484005451202,67.02888303995132
83,4,11,122.11457824707033,72.06773195127501,57.18181324005127,40.72072088718414
84,4,12,115.9861068725586,72.06773195127501,65.80153357982635,50.11319100856781
85,4,13,118.62601470947266,72.06773195127501,90.41023969650269,73.63545209169388
86,4,14,105.59001159667967,72.06773195127501,104.52170097827911,83.94854247570038
87,4,15,104.8681869506836,72.06773195127501,111.02424478530884,93.53880620002748
88,4,16,103.2063217163086,72.06773195127501,128.3174374103546,111.0779641866684
89,4,17,115.14481353759766,72.06773195127501,131.0947945713997,117.65827000141144
90,4,18,114.84647369384766,72.06773195127501,122.25772881507874,108.2443608045578
91,4,19,101.98619079589844,72.06773195127501,129.86610388755798,115.2225296497345
92,4,20,108.47998046875,72.06773195127501,143.87064933776855,130.31437754631042
93,4,21,114.96304321289062,72.06773195127501,119.19480633735655,127.1454029083252
94,4,22,99.85574340820312,72.06773195127501,107.4661158323288,119.44293451309204
95,4,23,81.1248779296875,72.06773195127501,110.15129494667052,118.13796257972716
96,5,0,78.17172241210938,71.26784696154166,112.5641791820526,116.81568348407744
97,5,1,79.4224853515625,71.26784696154166,117.18220508098602,121.03935134410858
98,5,2,80.14398956298828,71.26784696154166,128.2499498128891,132.30811941623688
99,5,3,83.44194030761719,71.26784696154166,142.16123986244202,154.35462474822998
100,5,4,100.53376770019533,71.26784696154166,134.7948099374771,147.16240799427032
101,5,5,92.37097930908205,71.26784696154166,151.64294147491455,159.94863843917847
102,5,6,120.0402374267578,71.26784696154166,161.86122798919678,166.6487671136856
103,5,7,149.93431091308594,71.26784696154166,128.75331664085388,128.8848022222519
104,5,8,154.61605834960938,71.26784696154166,103.26804864406586,95.34961807727814
105,5,9,157.67286682128906,71.26784696154166,39.16113924980164,38.52404832839966
106,5,10,151.58506774902344,71.26784696154166,2.1626038551330566,5.764888286590576
107,5,11,139.9095458984375,71.26784696154166,-13.838008046150208,-20.82005548477173
108,5,12,129.51828002929688,71.26784696154166,-11.072516202926636,-15.8771812915802
109,5,13,128.98028564453125,71.26784696154166,-1.6799360513687134,-4.197444438934326
110,5,14,128.3931427001953,71.26784696154166,49.4580397605896,39.78677099943161
111,5,15,131.8480682373047,71.26784696154166,98.88802337646484,87.79890370368958
112,5,16,121.1309051513672,71.26784696154166,162.34527111053467,133.49671459197998
113,5,17,144.03631591796875,71.26784696154166,176.28849744796753,130.06272649765015
114,5,18,152.67051696777344,71.26784696154166,186.34121179580688,137.74011659622192
115,5,19,162.7741241455078,71.26784696154166,187.09380435943604,138.3514904975891
116,5,20,169.89967346191406,71.26784696154166,200.87463855743408,153.10413002967834
117,5,21,180.68698120117188,71.26784696154166,202.2180066108704,155.8422476053238
118,5,22,180.05746459960938,71.26784696154166,189.690434217453,141.24730050563812
119,5,23,157.05416870117188,71.26784696154166,197.513457775116,148.7963091135025
120,6,0,158.07778930664062,80.61506569283334,181.01202511787412,133.86058735847473
121,6,1,144.13592529296875,80.61506569283334,176.28128719329834,141.4401295185089
122,6,2,141.480224609375,80.61506569283334,179.9443690776825,148.73625457286835
123,6,3,155.74423217773438,80.61506569283334,173.6691756248474,154.83466398715973
124,6,4,153.13185119628906,80.61506569283334,183.1823420524597,157.38833785057068
125,6,5,162.6243896484375,80.61506569283334,187.8567018508911,159.320415019989
126,6,6,168.98666381835938,80.61506569283334,189.25657844543457,159.81639111042023
127,6,7,176.8641815185547,80.61506569283334,129.83633685112,117.30373013019562
128,6,8,158.0970001220703,80.61506569283334,92.64912188053133,67.58644831180573
129,6,9,153.86895751953125,80.61506569283334,51.94762539863586,48.767364501953125
130,6,10,136.30743408203125,80.61506569283334,32.33111298084259,15.978923916816711
131,6,11,127.56554412841795,80.61506569283334,22.689626574516296,10.252796411514282
132,6,12,116.27396392822266,80.61506569283334,6.069472908973694,-8.680306792259216
133,6,13,113.38762664794922,80.61506569283334,46.88531053066254,46.96363425254822
134,6,14,99.06981658935548,80.61506569283334,62.5354346036911,40.4094911813736
135,6,15,107.7353515625,80.61506569283334,115.71063423156738,111.64916640520096
136,6,16,122.45207214355467,80.61506569283334,145.00749135017395,121.27853059768675
137,6,17,115.14341735839844,80.61506569283334,155.68519115447998,132.99896347522736
138,6,18,129.88645935058594,80.61506569283334,156.94028520584106,128.21952211856842
139,6,19,124.01764678955078,80.61506569283334,157.14318180084229,131.79677534103394
140,6,20,131.8513641357422,80.61506569283334,172.60779333114624,139.63945627212524
141,6,21,136.33230590820312,80.61506569283334,182.52432346343997,148.94304060935974
142,6,22,139.46896362304688,80.61506569283334,169.8820550441742,132.70171236991882
143,6,23,136.6112060546875,80.61506569283334,181.32610058784485,129.77135860919952
144,7,0,139.88299560546875,106.18141793066668,191.70827198028564,135.74365949630737
145,7,1,150.8599395751953,106.18141793066668,195.44368195533752,136.18351650238037
146,7,2,152.77090454101562,106.18141793066668,194.80961441993716,134.42153537273407
147,7,3,160.09622192382812,106.18141793066668,198.14661026000977,134.9409168958664
148,7,4,167.9008026123047,106.18141793066668,204.92423152923584,142.78961551189423
149,7,5,175.3134002685547,106.18141793066668,210.451509475708,154.47864866256714
150,7,6,192.95782470703125,106.18141793066668,214.56695652008057,158.35366940498352
151,7,7,192.94113159179688,106.18141793066668,185.48352527618408,141.19934856891632
152,7,8,178.00241088867188,106.18141793066668,184.24245882034305,135.51075160503387
153,7,9,180.03475952148438,106.18141793066668,160.12940680980682,117.43934172391891
154,7,10,175.01388549804688,106.18141793066668,138.14665961265564,93.55100536346436
155,7,11,153.18109130859375,106.18141793066668,140.9626100063324,93.2501648068428
156,7,12,154.5482635498047,106.18141793066668,123.6951025724411,81.10712432861328
157,7,13,135.68231201171875,106.18141793066668,134.53564929962158,92.62486273050308
158,7,14,133.771728515625,106.18141793066668,150.04165482521057,111.62890458106996
159,7,15,137.4683380126953,106.18141793066668,155.9587265253067,118.5234433412552
160,7,16,137.81353759765625,106.18141793066668,164.293315410614,128.389772772789
161,7,17,142.29466247558594,106.18141793066668,172.2698130607605,138.8825662136078
162,7,18,145.57952880859375,106.18141793066668,162.8006455898285,134.43595457077026
163,7,19,142.75799560546875,106.18141793066668,181.94002103805545,154.19714522361755
164,7,20,165.6304168701172,106.18141793066668,186.53132140636444,160.42144083976746
165,7,21,167.166259765625,106.18141793066668,194.63893032073972,162.4311168193817
166,7,22,165.04071044921875,106.18141793066668,180.1065833568573,144.89400148391724
167,7,23,149.84689331054688,106.18141793066668,183.73037576675412,145.41433143615723
168,8,0,142.1890106201172,92.26443310588331,187.00383496284485,143.4491741657257
169,8,1,139.93360900878906,92.26443310588331,188.02798199653623,147.4897882938385
170,8,2,135.25437927246094,92.26443310588331,182.8682465553284,155.76589715480804
171,8,3,140.20326232910156,92.26443310588331,186.10566806793213,154.27376472949982
172,8,4,148.71861267089844,92.26443310588331,203.2743134498596,167.99550008773804
173,8,5,170.20108032226562,92.26443310588331,203.3988127708435,167.9140772819519
174,8,6,175.5980682373047,92.26443310588331,210.9353232383728,173.4435932636261
175,8,7,188.0489196777344,92.26443310588331,171.06506502628326,136.06325161457062
176,8,8,179.358154296875,92.26443310588331,118.53482341766356,105.48797953128816
177,8,9,161.26690673828125,92.26443310588331,73.65266382694244,56.276618242263794
178,8,10,150.1875762939453,92.26443310588331,16.150038719177246,-3.5861979722976685
179,8,11,129.63169860839844,92.26443310588331,17.66264498233795,10.32753610610962
180,8,12,134.81529235839844,92.26443310588331,4.3013787269592285,-0.5743803977966309
181,8,13,113.92491149902344,92.26443310588331,6.409496784210205,-3.4698452949523926
182,8,14,105.67442321777344,92.26443310588331,45.54715263843536,41.85063517093658
183,8,15,108.75962829589844,92.26443310588331,118.32320058345796,105.48151552677156
184,8,16,126.64865112304688,92.26443310588331,162.71144580841064,136.6088868379593
185,8,17,143.97845458984375,92.26443310588331,196.57363748550412,152.18217372894287
186,8,18,168.5128173828125,92.26443310588331,180.2930493354797,135.6381494998932
187,8,19,153.3239288330078,92.26443310588331,223.79540467262268,179.29818749427795
188,8,20,195.030029296875,92.26443310588331,213.0814778804779,168.52939891815186
189,8,21,186.54673767089844,92.26443310588331,198.86307644844052,147.64501321315765
190,8,22,160.80062866210938,92.26443310588331,188.3755707740784,138.41452312469482
191,8,23,145.28880310058594,92.26443310588331,175.80796790122986,128.38699972629547
192,9,0,135.0784454345703,88.72331906716666,177.05846095085144,135.0382354259491
193,9,1,132.4397735595703,88.72331906716666,173.73165559768677,135.65485215187073
194,9,2,133.08790588378906,88.72331906716666,182.13400983810425,144.64583480358124
195,9,3,148.6800994873047,88.72331906716666,191.16371655464167,142.76820623874664
196,9,4,153.17068481445312,88.72331906716666,202.2858309745789,153.34938299655914
197,9,5,174.52694702148438,88.72331906716666,188.20758438110352,136.19261074066162
198,9,6,172.4080810546875,88.72331906716666,192.701358795166,148.2365107536316
199,9,7,180.24871826171875,88.72331906716666,181.4408595561981,139.2818567752838
200,9,8,190.7701873779297,88.72331906716666,137.54369521141052,98.9919353723526
201,9,9,165.40708923339844,88.72331906716666,106.37180733680724,74.1277368068695
202,9,10,159.5432586669922,88.72331906716666,70.32714188098907,39.672311663627625
203,9,11,149.3296356201172,88.72331906716666,26.609936237335205,-6.648603558540344
204,9,12,130.61737060546875,88.72331906716666,10.824679613113403,-9.608817458152773
205,9,13,115.92980194091795,88.72331906716666,30.88926100730896,11.270190119743347
206,9,14,116.64804077148438,88.72331906716666,66.55325472354889,45.53530949354172
207,9,15,126.0718002319336,88.72331906716666,108.32433462142944,86.05166238546371
208,9,16,126.70282745361328,88.72331906716666,148.23899674415588,118.96213757991792
209,9,17,134.64956665039062,88.72331906716666,167.87771201133728,129.1295964717865
210,9,18,148.08497619628906,88.72331906716666,166.51186752319336,129.22622883319855
211,9,19,151.04530334472656,88.72331906716666,174.44939064979553,134.7621772289276
212,9,20,152.98170471191406,88.72331906716666,164.76204681396484,128.12339055538175
213,9,21,141.37355041503906,88.72331906716666,158.45462203025818,119.40131092071532
214,9,22,128.45135498046875,88.72331906716666,152.603431224823,113.24202942848206
215,9,23,112.77757263183594,88.72331906716666,146.46730375289917,105.8541704416275
216,10,0,106.42488098144533,73.654282278,149.6734733581543,111.43908929824828
217,10,1,107.94651794433594,73.654282278,139.5453188419342,107.09854590892792
218,10,2,98.59461212158205,73.654282278,131.92576456069946,106.75342631340028
219,10,3,95.38550567626952,73.654282278,128.9658980369568,107.60233771800996
220,10,4,97.76524353027344,73.654282278,126.58838963508606,106.77379548549652
221,10,5,95.59867095947266,73.654282278,120.91975510120392,107.38974285125732
222,10,6,103.54317474365234,73.654282278,117.5360894203186,105.6030935049057
223,10,7,112.14601135253906,73.654282278,109.42761468887328,102.49412453174592
224,10,8,113.5704345703125,73.654282278,124.4939421415329,120.3216633796692
225,10,9,124.98796081542967,73.654282278,95.4059870839119,98.43450236320496
226,10,10,106.65741729736328,73.654282278,97.18852576613426,89.00764352083206
227,10,11,103.03411865234376,73.654282278,85.62459969520569,82.01396304368973
228,10,12,91.97396850585938,73.654282278,77.16702696681023,75.53289467096329
229,10,13,82.91075134277344,73.654282278,81.12775564193726,76.03139233589172
230,10,14,89.12312316894531,73.654282278,85.15630656480789,72.11013269424438
231,10,15,103.51242065429688,73.654282278,117.74729466438292,96.09887683391572
232,10,16,106.95787811279295,73.654282278,142.25551235675812,113.612353682518
233,10,17,123.30328369140624,73.654282278,149.01644492149353,118.3939130306244
234,10,18,127.27462768554688,73.654282278,162.90254473686218,127.90721654891968
235,10,19,136.42791748046875,73.654282278,164.27840113639832,132.0466103553772
236,10,20,138.4094696044922,73.654282278,175.93273210525513,141.48497939109802
237,10,21,148.08236694335938,73.654282278,151.99453711509705,118.78134322166444
238,10,22,125.390625,73.654282278,151.43631052970886,116.78385818004608
239,10,23,120.31954193115234,73.654282278,156.95151352882385,112.52647888660432
240,11,0,117.93577575683594,76.35465082491667,157.04290127754211,112.60524201393127
241,11,1,114.83834075927734,76.35465082491667,157.4489619731903,113.91528749465942
242,11,2,115.71158599853516,76.35465082491667,157.0777895450592,111.69249212741852
243,11,3,115.96128845214844,76.35465082491667,157.72965693473816,111.6248095035553
244,11,4,116.0054931640625,76.35465082491667,168.90402841567993,125.89655792713164
245,11,5,128.3731689453125,76.35465082491667,159.62459230422974,117.86571300029756
246,11,6,129.89291381835938,76.35465082491667,169.38920187950134,128.79556441307068
247,11,7,150.28079223632812,76.35465082491667,165.62337791919708,129.3293937444687
248,11,8,153.50563049316406,76.35465082491667,135.10648196935654,96.92684954404832
249,11,9,137.64222717285156,76.35465082491667,131.06781208515167,93.67135268449783
250,11,10,150.5970001220703,76.35465082491667,118.40047955513,82.91868722438812
251,11,11,142.9279022216797,76.35465082491667,104.26177442073822,71.80826485157013
252,11,12,129.72557067871094,76.35465082491667,81.67720729112625,55.15147924423218
253,11,13,115.06820678710938,76.35465082491667,92.78799629211426,65.97577166557312
254,11,14,108.52713775634766,76.35465082491667,108.23338294029236,83.13042122125626
255,11,15,106.6511459350586,76.35465082491667,107.9540719985962,90.43333411216736
256,11,16,102.60472869873048,76.35465082491667,116.40154552459715,96.09573781490326
257,11,17,98.16779327392578,76.35465082491667,132.15011429786682,117.73608100414276
258,11,18,118.62969207763672,76.35465082491667,118.16660571098328,108.7964050769806
259,11,19,104.80398559570312,76.35465082491667,115.80451965332033,103.8064020872116
260,11,20,93.51065826416016,76.35465082491667,105.0844942331314,99.6589766740799
261,11,21,82.500244140625,76.35465082491667,104.66210389137268,111.4535905122757
262,11,22,82.16226959228516,76.35465082491667,96.80770790576936,105.98285233974455
263,11,23,65.94684600830078,76.35465082491667,95.45581424236298,104.25509548187256
264,12,0,66.2083511352539,52.91160712909283,102.64870488643646,106.93770623207092
265,12,1,64.080322265625,52.91160712909283,105.00003039836884,111.55419206619264
266,12,2,67.2132797241211,52.91160712909283,102.6474449634552,116.71372842788696
267,12,3,77.49108123779297,52.91160712909283,126.903382897377,142.46751284599304
268,12,4,98.04019927978516,52.91160712909283,134.5660970211029,152.5184783935547
269,12,5,107.32928466796876,52.91160712909283,146.177237033844,147.66490244865415
270,12,6,119.7591323852539,52.91160712909283,141.73562014102936,151.43566572666168
271,12,7,129.53599548339844,52.91160712909283,113.3553848862648,118.81960809230804
272,12,8,124.7717742919922,52.91160712909283,65.40438425540924,72.9096509218216
273,12,9,118.2864227294922,52.91160712909283,-7.648978114128113,10.911051988601685
274,12,10,102.46354675292967,52.91160712909283,-38.97743773460388,-13.223615169525146
275,12,11,91.0478973388672,52.91160712909283,-56.638418555259705,-46.07705700397492
276,12,12,85.62297821044922,52.91160712909283,-64.96261358261108,-44.5880366563797
277,12,13,75.74429321289062,52.91160712909283,-48.33995985984802,-32.03897511959076
278,12,14,75.05982208251953,52.91160712909283,-15.978623747825624,3.558385252952576
279,12,15,70.40097045898438,52.91160712909283,55.41299319267273,67.75925636291504
280,12,16,87.4733657836914,52.91160712909283,110.18967151641846,107.01587986946106
281,12,17,91.2275161743164,52.91160712909283,155.73655128479004,126.93058514595032
282,12,18,126.50743103027344,52.91160712909283,150.00798273086548,124.24144768714903
283,12,19,122.78023529052734,52.91160712909283,167.85820126533508,141.76787996292114
284,12,20,135.0780029296875,52.91160712909283,163.50979709625244,147.96137726306915
285,12,21,138.74691772460938,52.91160712909283,159.58467173576355,138.00331151485443
286,12,22,129.3557586669922,52.91160712909283,155.6481945514679,132.43960857391355
287,12,23,115.78096771240234,52.91160712909283,160.9965968132019,132.31692612171173
288,13,0,116.94754791259766,75.70713178958333,170.92395210266113,137.4481097459793
289,13,1,124.96587371826172,75.70713178958333,178.1660668849945,144.13394939899445
290,13,2,131.24575805664062,75.70713178958333,182.64384269714355,153.91894257068634
291,13,3,142.58546447753906,75.70713178958333,191.85718846321103,159.2638120651245
292,13,4,151.31854248046875,75.70713178958333,199.2492206096649,164.13959443569183
293,13,5,171.044189453125,75.70713178958333,204.33834028244016,163.78100621700287
294,13,6,188.7353057861328,75.70713178958333,205.8046083450317,157.14392131567
295,13,7,194.6629943847656,75.70713178958333,165.04270315170288,124.76453566551208
296,13,8,185.0341796875,75.70713178958333,89.80544090270996,81.37054252624512
297,13,9,156.5982666015625,75.70713178958333,40.41970479488373,37.88470661640167
298,13,10,140.32443237304688,75.70713178958333,-10.102482318878174,-6.213101148605347
299,13,11,125.66991424560548,75.70713178958333,-32.3001720905304,-36.77634584903717
300,13,12,107.1439971923828,75.70713178958333,-18.176260471343998,-14.321778655052183
301,13,13,104.987548828125,75.70713178958333,-4.925013065338135,-7.619789004325867
302,13,14,94.84707641601562,75.70713178958333,41.15626978874207,37.99748969078064
303,13,15,98.11817169189452,75.70713178958333,79.6877977848053,67.82262873649597
304,13,16,97.44100189208984,75.70713178958333,128.89234924316406,111.22085428237916
305,13,17,107.3821792602539,75.70713178958333,145.10606265068054,114.5465611219406
306,13,18,118.46178436279295,75.70713178958333,148.60040378570557,119.94121479988098
307,13,19,122.83306884765624,75.70713178958333,148.40316820144653,124.82722437381744
308,13,20,126.46868896484376,75.70713178958333,149.3980016708374,124.53582119941711
309,13,21,126.70492553710938,75.70713178958333,134.40599179267883,120.14569473266602
310,13,22,115.33610534667967,75.70713178958333,127.71150064468384,112.81208395957948
311,13,23,101.85758209228516,75.70713178958333,129.7797713279724,105.26362931728364
312,14,0,102.2989730834961,52.49715500095834,129.4439206123352,114.3267992734909
313,14,1,97.00363159179688,52.49715500095834,133.61450695991516,113.77407884597778
314,14,2,100.34920501708984,52.49715500095834,131.8097996711731,113.26769483089448
315,14,3,104.38424682617188,52.49715500095834,130.42384338378906,124.96372413635254
316,14,4,106.08201599121094,52.49715500095834,144.38694977760315,137.12547779083252
317,14,5,112.7345199584961,52.49715500095834,142.75655102729797,113.86631137132645
318,14,6,119.8216781616211,52.49715500095834,147.53689432144165,145.68416249752045
319,14,7,138.8494110107422,52.49715500095834,141.31902527809143,130.09479880332947
320,14,8,132.8922119140625,52.49715500095834,79.47670006752014,69.16880941390991
321,14,9,129.0340576171875,52.49715500095834,30.80065810680389,29.73654305934906
322,14,10,122.29415893554688,52.49715500095834,15.27217710018158,15.304945468902588
323,14,11,98.44074249267578,52.49715500095834,-61.03659915924072,-62.30338370800018
324,14,12,84.6783218383789,52.49715500095834,-65.25528001785278,-54.08259415626526
325,14,13,70.95877075195312,52.49715500095834,-33.99917995929718,-24.0128413438797
326,14,14,78.55008697509766,52.49715500095834,-6.294025301933289,0.4867044687271118
327,14,15,72.41320037841797,52.49715500095834,35.75592613220215,39.05026388168335
328,14,16,63.28773498535156,52.49715500095834,112.47964477539062,105.9682002067566
329,14,17,89.46795654296875,52.49715500095834,121.1485584974289,112.4026038646698
330,14,18,99.7128677368164,52.49715500095834,108.84510219097136,98.11536955833436
331,14,19,84.91388702392578,52.49715500095834,115.8831467628479,107.55612742900848
332,14,20,90.87213897705078,52.49715500095834,106.56332457065582,98.24274945259094
333,14,21,81.95797729492188,52.49715500095834,93.7739610671997,85.58026659488678
334,14,22,67.54139709472656,52.49715500095834,99.544970870018,86.11011224985123
335,14,23,66.24932098388672,52.49715500095834,103.93807244300842,82.35700589418411
336,15,0,60.39925384521485,46.715857215125,99.2634066939354,81.34153008460999
337,15,1,61.068843841552734,46.715857215125,103.86043751239777,86.58051133155823
338,15,2,61.73260498046875,46.715857215125,99.9221532344818,90.96972393989564
339,15,3,63.41401672363281,46.715857215125,106.99049401283264,104.51618349552156
340,15,4,73.4420394897461,46.715857215125,106.36920487880708,96.7314913868904
341,15,5,72.68695831298828,46.715857215125,105.86148810386658,91.46723902225494
342,15,6,81.35742950439453,46.715857215125,115.12110053002834,101.44045692682266
343,15,7,98.28408813476562,46.715857215125,82.84027552604675,74.13924926519394
344,15,8,82.76566314697266,46.715857215125,64.26987344026566,65.14724987745285
345,15,9,82.92692565917969,46.715857215125,59.54460579156876,70.15492218732834
346,15,10,75.91702270507812,46.715857215125,66.90737730264664,72.86582058668137
347,15,11,83.31989288330078,46.715857215125,53.04166004061699,57.088248670101166
348,15,12,65.77217102050781,46.715857215125,21.132642835378647,32.30445039272308
349,15,13,62.06061172485352,46.715857215125,-15.166226148605348,-12.823155760765076
350,15,14,51.62389755249024,46.715857215125,-19.706656396389008,-7.893360793590546
351,15,15,47.51331329345703,46.715857215125,14.429255917668344,36.42414861917496
352,15,16,50.62835311889648,46.715857215125,70.95013698935509,90.83346343040466
353,15,17,65.56291198730469,46.715857215125,89.94147574901581,90.94314992427826
354,15,18,61.30098724365234,46.715857215125,95.91190433502196,112.93092501163484
355,15,19,83.94839477539062,46.715857215125,89.36823725700378,95.30116426944733
356,15,20,66.5700454711914,46.715857215125,89.41714453697205,97.46093893051147
357,15,21,63.35731506347656,46.715857215125,80.68095362186432,87.45347332954407
358,15,22,51.04682159423828,46.715857215125,72.17394596338272,78.30253636837006
359,15,23,49.38359832763672,46.715857215125,92.431793063879,88.25061357021332
360,16,0,49.17684173583984,50.15172543847916,74.22925278544426,81.99590337276459
361,16,1,42.44547271728516,50.15172543847916,79.06893634796143,84.26188069581985
362,16,2,44.20927429199219,50.15172543847916,85.14558494091034,98.05324256420135
363,16,3,53.1553955078125,50.15172543847916,87.54937756061554,89.30573290586472
364,16,4,50.4902229309082,50.15172543847916,87.59553718566895,97.06510734558104
365,16,5,58.61738204956055,50.15172543847916,86.32411742210388,95.10029888153076
366,16,6,61.07787322998047,50.15172543847916,101.02614387869836,114.67397218942642
367,16,7,87.47868347167969,50.15172543847916,74.62832146883011,84.26876640319824
