building_idx,building_name,sample_index,absolute_time_step,day_index,day_of_month,hour_of_day,electrical_storage_soc
20,resstock-amy2018-2021-release-1-498771,1,1,0,1,1,0.0
21,resstock-amy2018-2021-release-1-525859,1,1,0,1,1,0.13511613011360168
22,resstock-amy2018-2021-release-1-538628,1,1,0,1,1,0.0
23,resstock-amy2018-2021-release-1-76701,1,1,0,1,1,0.0
24,resstock-amy2018-2021-release-1-88386,1,1,0,1,1,0.0
0,resstock-amy2018-2021-release-1-112208,2,2,0,1,2,0.0
1,resstock-amy2018-2021-release-1-147002,2,2,0,1,2,0.3274466395378113
2,resstock-amy2018-2021-release-1-179247,2,2,0,1,2,0.39717939496040344
3,resstock-amy2018-2021-release-1-199613,2,2,0,1,2,0.06807804107666016
4,resstock-amy2018-2021-release-1-20199,2,2,0,1,2,0.11699433624744415
5,resstock-amy2018-2021-release-1-216895,2,2,0,1,2,0.0
6,resstock-amy2018-2021-release-1-223581,2,2,0,1,2,0.16897623240947723
7,resstock-amy2018-2021-release-1-245723,2,2,0,1,2,0.0031445869244635105
8,resstock-amy2018-2021-release-1-247942,2,2,0,1,2,0.0
9,resstock-amy2018-2021-release-1-319918,2,2,0,1,2,0.0
10,resstock-amy2018-2021-release-1-376570,2,2,0,1,2,0.0
11,resstock-amy2018-2021-release-1-408344,2,2,0,1,2,0.13882511854171753
12,resstock-amy2018-2021-release-1-409896,2,2,0,1,2,0.0996006429195404
13,resstock-amy2018-2021-release-1-411001,2,2,0,1,2,0.0
14,resstock-amy2018-2021-release-1-425540,2,2,0,1,2,0.07140879333019257
15,resstock-amy2018-2021-release-1-4421,2,2,0,1,2,0.7418610453605652
16,resstock-amy2018-2021-release-1-460412,2,2,0,1,2,3.061023380723782e-05
17,resstock-amy2018-2021-release-1-467125,2,2,0,1,2,0.32555705308914185
18,resstock-amy2018-2021-release-1-481052,2,2,0,1,2,0.0
19,resstock-amy2018-2021-release-1-485614,2,2,0,1,2,0.0
20,resstock-amy2018-2021-release-1-498771,2,2,0,1,2,0.49807238578796387
21,resstock-amy2018-2021-release-1-525859,2,2,0,1,2,0.13490264117717743
22,resstock-amy2018-2021-release-1-538628,2,2,0,1,2,0.0
23,resstock-amy2018-2021-release-1-76701,2,2,0,1,2,0.0
24,resstock-amy2018-2021-release-1-88386,2,2,0,1,2,0.0
0,resstock-amy2018-2021-release-1-112208,3,3,0,1,3,0.0
1,resstock-amy2018-2021-release-1-147002,3,3,0,1,3,0.4880759119987488
2,resstock-amy2018-2021-release-1-179247,3,3,0,1,3,0.5901263952255249
3,resstock-amy2018-2021-release-1-199613,3,3,0,1,3,0.15310978889465332
4,resstock-amy2018-2021-release-1-20199,3,3,0,1,3,0.1746891736984253
5,resstock-amy2018-2021-release-1-216895,3,3,0,1,3,0.0
6,resstock-amy2018-2021-release-1-223581,3,3,0,1,3,0.3352195918560028
7,resstock-amy2018-2021-release-1-245723,3,3,0,1,3,0.03374895825982094
8,resstock-amy2018-2021-release-1-247942,3,3,0,1,3,0.0
9,resstock-amy2018-2021-release-1-319918,3,3,0,1,3,0.0
10,resstock-amy2018-2021-release-1-376570,3,3,0,1,3,0.0
11,resstock-amy2018-2021-release-1-408344,3,3,0,1,3,0.13803817331790924
12,resstock-amy2018-2021-release-1-409896,3,3,0,1,3,0.25925251841545105
13,resstock-amy2018-2021-release-1-411001,3,3,0,1,3,0.0
14,resstock-amy2018-2021-release-1-425540,3,3,0,1,3,0.03991243615746498
15,resstock-amy2018-2021-release-1-4421,3,3,0,1,3,0.9890608787536621
16,resstock-amy2018-2021-release-1-460412,3,3,0,1,3,0.18349997699260712
17,resstock-amy2018-2021-release-1-467125,3,3,0,1,3,0.1002974659204483
18,resstock-amy2018-2021-release-1-481052,3,3,0,1,3,0.0
19,resstock-amy2018-2021-release-1-485614,3,3,0,1,3,0.0
20,resstock-amy2018-2021-release-1-498771,3,3,0,1,3,0.9791201949119568
21,resstock-amy2018-2021-release-1-525859,3,3,0,1,3,0.2817516028881073
22,resstock-amy2018-2021-release-1-538628,3,3,0,1,3,0.0
23,resstock-amy2018-2021-release-1-76701,3,3,0,1,3,0.0
24,resstock-amy2018-2021-release-1-88386,3,3,0,1,3,0.0
0,resstock-amy2018-2021-release-1-112208,4,4,0,1,4,0.0
1,resstock-amy2018-2021-release-1-147002,4,4,0,1,4,0.6466719508171082
2,resstock-amy2018-2021-release-1-179247,4,4,0,1,4,0.7794011831283569
3,resstock-amy2018-2021-release-1-199613,4,4,0,1,4,0.09880998730659485
4,resstock-amy2018-2021-release-1-20199,4,4,0,1,4,0.23185546696186066
5,resstock-amy2018-2021-release-1-216895,4,4,0,1,4,0.0
6,resstock-amy2018-2021-release-1-223581,4,4,0,1,4,0.4987712502479553
7,resstock-amy2018-2021-release-1-245723,4,4,0,1,4,0.06416933983564377
8,resstock-amy2018-2021-release-1-247942,4,4,0,1,4,0.0
9,resstock-amy2018-2021-release-1-319918,4,4,0,1,4,0.0
10,resstock-amy2018-2021-release-1-376570,4,4,0,1,4,0.0
11,resstock-amy2018-2021-release-1-408344,4,4,0,1,4,0.1372556835412979
12,resstock-amy2018-2021-release-1-409896,4,4,0,1,4,0.09941737353801727
13,resstock-amy2018-2021-release-1-411001,4,4,0,1,4,0.0
14,resstock-amy2018-2021-release-1-425540,4,4,0,1,4,0.039857033640146255
15,resstock-amy2018-2021-release-1-4421,4,4,0,1,4,0.9989026784896851
16,resstock-amy2018-2021-release-1-460412,4,4,0,1,4,3.06146866932977e-05
17,resstock-amy2018-2021-release-1-467125,4,4,0,1,4,0.09996950626373291
18,resstock-amy2018-2021-release-1-481052,4,4,0,1,4,0.0
19,resstock-amy2018-2021-release-1-485614,4,4,0,1,4,0.0
20,resstock-amy2018-2021-release-1-498771,4,4,0,1,4,0.9983515739440918
21,resstock-amy2018-2021-release-1-525859,4,4,0,1,4,0.1496850997209549
22,resstock-amy2018-2021-release-1-538628,4,4,0,1,4,0.0
23,resstock-amy2018-2021-release-1-76701,4,4,0,1,4,0.0
24,resstock-amy2018-2021-release-1-88386,4,4,0,1,4,0.0
0,resstock-amy2018-2021-release-1-112208,5,5,0,1,5,0.0
1,resstock-amy2018-2021-release-1-147002,5,5,0,1,5,0.8032567501068115
2,resstock-amy2018-2021-release-1-179247,5,5,0,1,5,0.5719998478889465
3,resstock-amy2018-2021-release-1-199613,5,5,0,1,5,0.0980289950966835
4,resstock-amy2018-2021-release-1-20199,5,5,0,1,5,0.2884979248046875
5,resstock-amy2018-2021-release-1-216895,5,5,0,1,5,0.0
6,resstock-amy2018-2021-release-1-223581,5,5,0,1,5,0.3199460804462433
7,resstock-amy2018-2021-release-1-245723,5,5,0,1,5,0.09440681338310242
8,resstock-amy2018-2021-release-1-247942,5,5,0,1,5,0.0
9,resstock-amy2018-2021-release-1-319918,5,5,0,1,5,0.0
10,resstock-amy2018-2021-release-1-376570,5,5,0,1,5,0.0
11,resstock-amy2018-2021-release-1-408344,5,5,0,1,5,0.13647763431072235
12,resstock-amy2018-2021-release-1-409896,5,5,0,1,5,0.25907158851623535
13,resstock-amy2018-2021-release-1-411001,5,5,0,1,5,0.0
14,resstock-amy2018-2021-release-1-425540,5,5,0,1,5,0.0398017093539238
15,resstock-amy2018-2021-release-1-4421,5,5,0,1,5,0.9995474219322205
16,resstock-amy2018-2021-release-1-460412,5,5,0,1,5,0.1834999918937683
17,resstock-amy2018-2021-release-1-467125,5,5,0,1,5,0.09993951767683029
18,resstock-amy2018-2021-release-1-481052,5,5,0,1,5,0.0
19,resstock-amy2018-2021-release-1-485614,5,5,0,1,5,0.0
20,resstock-amy2018-2021-release-1-498771,5,5,0,1,5,0.8347099423408508
21,resstock-amy2018-2021-release-1-525859,5,5,0,1,5,0.2963736653327942
22,resstock-amy2018-2021-release-1-538628,5,5,0,1,5,0.0
23,resstock-amy2018-2021-release-1-76701,5,5,0,1,5,0.0
24,resstock-amy2018-2021-release-1-88386,5,5,0,1,5,0.0
0,resstock-amy2018-2021-release-1-112208,6,6,0,1,6,0.0
1,resstock-amy2018-2021-release-1-147002,6,6,0,1,6,0.9429040551185608
2,resstock-amy2018-2021-release-1-179247,6,6,0,1,6,0.3634338974952698
3,resstock-amy2018-2021-release-1-199613,6,6,0,1,6,0.09725417196750641
4,resstock-amy2018-2021-release-1-20199,6,6,0,1,6,0.3446212410926819
5,resstock-amy2018-2021-release-1-216895,6,6,0,1,6,0.0
6,resstock-amy2018-2021-release-1-223581,6,6,0,1,6,0.14015699923038483
7,resstock-amy2018-2021-release-1-245723,6,6,0,1,6,0.12446245551109314
8,resstock-amy2018-2021-release-1-247942,6,6,0,1,6,0.0
9,resstock-amy2018-2021-release-1-319918,6,6,0,1,6,0.507813036441803
10,resstock-amy2018-2021-release-1-376570,6,6,0,1,6,0.0
11,resstock-amy2018-2021-release-1-408344,6,6,0,1,6,0.13570399582386017
12,resstock-amy2018-2021-release-1-409896,6,6,0,1,6,0.09941770881414413
13,resstock-amy2018-2021-release-1-411001,6,6,0,1,6,0.0
14,resstock-amy2018-2021-release-1-425540,6,6,0,1,6,0.03974646329879761
15,resstock-amy2018-2021-release-1-4421,6,6,0,1,6,0.9995914101600647
16,resstock-amy2018-2021-release-1-460412,6,6,0,1,6,3.061470124521293e-05
17,resstock-amy2018-2021-release-1-467125,6,6,0,1,6,0.09990953654050827
18,resstock-amy2018-2021-release-1-481052,6,6,0,1,6,0.0
19,resstock-amy2018-2021-release-1-485614,6,6,0,1,6,0.0
20,resstock-amy2018-2021-release-1-498771,6,6,0,1,6,0.37090864777565
21,resstock-amy2018-2021-release-1-525859,6,6,0,1,6,0.14967627823352814
22,resstock-amy2018-2021-release-1-538628,6,6,0,1,6,0.0
23,resstock-amy2018-2021-release-1-76701,6,6,0,1,6,0.0
24,resstock-amy2018-2021-release-1-88386,6,6,0,1,6,0.0
0,resstock-amy2018-2021-release-1-112208,7,7,0,1,7,0.0
1,resstock-amy2018-2021-release-1-147002,7,7,0,1,7,0.9954795837402344
2,resstock-amy2018-2021-release-1-179247,7,7,0,1,7,0.1536913365125656
3,resstock-amy2018-2021-release-1-199613,7,7,0,1,7,0.09648547321557999
4,resstock-amy2018-2021-release-1-20199,7,7,0,1,7,0.4002300202846527
5,resstock-amy2018-2021-release-1-216895,7,7,0,1,7,0.0
6,resstock-amy2018-2021-release-1-223581,7,7,0,1,7,0.09903556853532791
7,resstock-amy2018-2021-release-1-245723,7,7,0,1,7,0.1543373316526413
8,resstock-amy2018-2021-release-1-247942,7,7,0,1,7,0.0
9,resstock-amy2018-2021-release-1-319918,7,7,0,1,7,0.0
10,resstock-amy2018-2021-release-1-376570,7,7,0,1,7,0.0
11,resstock-amy2018-2021-release-1-408344,7,7,0,1,7,0.13493473827838898
12,resstock-amy2018-2021-release-1-409896,7,7,0,1,7,0.09913262724876404
13,resstock-amy2018-2021-release-1-411001,7,7,0,1,7,0.0
14,resstock-amy2018-2021-release-1-425540,7,7,0,1,7,0.039691291749477386
15,resstock-amy2018-2021-release-1-4421,7,7,0,1,7,0.9995942711830139
16,resstock-amy2018-2021-release-1-460412,7,7,0,1,7,0.1834999918937683
17,resstock-amy2018-2021-release-1-467125,7,7,0,1,7,0.09987956285476685
18,resstock-amy2018-2021-release-1-481052,7,7,0,1,7,0.0
19,resstock-amy2018-2021-release-1-485614,7,7,0,1,7,0.0
20,resstock-amy2018-2021-release-1-498771,7,7,0,1,7,0.0
21,resstock-amy2018-2021-release-1-525859,7,7,0,1,7,0.14943979680538177
22,resstock-amy2018-2021-release-1-538628,7,7,0,1,7,0.0
23,resstock-amy2018-2021-release-1-76701,7,7,0,1,7,0.0
24,resstock-amy2018-2021-release-1-88386,7,7,0,1,7,0.0
0,resstock-amy2018-2021-release-1-112208,8,8,0,1,8,0.0
1,resstock-amy2018-2021-release-1-147002,8,8,0,1,8,0.9993515610694885
2,resstock-amy2018-2021-release-1-179247,8,8,0,1,8,0.0
3,resstock-amy2018-2021-release-1-199613,8,8,0,1,8,0.09572285413742065
4,resstock-amy2018-2021-release-1-20199,8,8,0,1,8,0.412386953830719
5,resstock-amy2018-2021-release-1-216895,8,8,0,1,8,0.0
6,resstock-amy2018-2021-release-1-223581,8,8,0,1,8,0.09837957471609116
7,resstock-amy2018-2021-release-1-245723,8,8,0,1,8,0.18403251469135284
8,resstock-amy2018-2021-release-1-247942,8,8,0,1,8,0.0
9,resstock-amy2018-2021-release-1-319918,8,8,0,1,8,0.0
10,resstock-amy2018-2021-release-1-376570,8,8,0,1,8,0.0
11,resstock-amy2018-2021-release-1-408344,8,8,0,1,8,0.13416984677314758
12,resstock-amy2018-2021-release-1-409896,8,8,0,1,8,0.0988483652472496
13,resstock-amy2018-2021-release-1-411001,8,8,0,1,8,0.0
14,resstock-amy2018-2021-release-1-425540,8,8,0,1,8,0.03963619843125343
15,resstock-amy2018-2021-release-1-4421,8,8,0,1,8,0.9995943307876587
16,resstock-amy2018-2021-release-1-460412,8,8,0,1,8,3.061470124521293e-05
17,resstock-amy2018-2021-release-1-467125,8,8,0,1,8,0.09984959661960602
18,resstock-amy2018-2021-release-1-481052,8,8,0,1,8,0.0
19,resstock-amy2018-2021-release-1-485614,8,8,0,1,8,0.0
20,resstock-amy2018-2021-release-1-498771,8,8,0,1,8,0.0
21,resstock-amy2018-2021-release-1-525859,8,8,0,1,8,0.14920368790626526
22,resstock-amy2018-2021-release-1-538628,8,8,0,1,8,0.0
23,resstock-amy2018-2021-release-1-76701,8,8,0,1,8,0.0
24,resstock-amy2018-2021-release-1-88386,8,8,0,1,8,0.0
0,resstock-amy2018-2021-release-1-112208,9,9,0,1,9,0.0
1,resstock-amy2018-2021-release-1-147002,9,9,0,1,9,0.9996969103813171
2,resstock-amy2018-2021-release-1-179247,9,9,0,1,9,0.0
3,resstock-amy2018-2021-release-1-199613,9,9,0,1,9,0.09496626257896423
4,resstock-amy2018-2021-release-1-20199,9,9,0,1,9,0.4603622853755951
5,resstock-amy2018-2021-release-1-216895,9,9,0,1,9,0.0
6,resstock-amy2018-2021-release-1-223581,9,9,0,1,9,0.09772792458534241
7,resstock-amy2018-2021-release-1-245723,9,9,0,1,9,0.14973877370357513
8,resstock-amy2018-2021-release-1-247942,9,9,0,1,9,0.0
9,resstock-amy2018-2021-release-1-319918,9,9,0,1,9,0.0
10,resstock-amy2018-2021-release-1-376570,9,9,0,1,9,0.0
11,resstock-amy2018-2021-release-1-408344,9,9,0,1,9,0.1334092915058136
12,resstock-amy2018-2021-release-1-409896,9,9,0,1,9,0.09856491535902023
13,resstock-amy2018-2021-release-1-411001,9,9,0,1,9,0.12408492714166641
14,resstock-amy2018-2021-release-1-425540,9,9,0,1,9,0.03958117961883545
15,resstock-amy2018-2021-release-1-4421,9,9,0,1,9,0.9995942115783691
16,resstock-amy2018-2021-release-1-460412,9,9,0,1,9,0.10060035437345505
17,resstock-amy2018-2021-release-1-467125,9,9,0,1,9,0.09981964528560638
18,resstock-amy2018-2021-release-1-481052,9,9,0,1,9,0.0
19,resstock-amy2018-2021-release-1-485614,9,9,0,1,9,0.0
20,resstock-amy2018-2021-release-1-498771,9,9,0,1,9,0.0
21,resstock-amy2018-2021-release-1-525859,9,9,0,1,9,0.1489679515361786
22,resstock-amy2018-2021-release-1-538628,9,9,0,1,9,0.0
23,resstock-amy2018-2021-release-1-76701,9,9,0,1,9,0.0
24,resstock-amy2018-2021-release-1-88386,9,9,0,1,9,0.0
0,resstock-amy2018-2021-release-1-112208,10,10,0,1,10,0.07360439747571945
1,resstock-amy2018-2021-release-1-147002,10,10,0,1,10,0.951383113861084
2,resstock-amy2018-2021-release-1-179247,10,10,0,1,10,0.2004932463169098
3,resstock-amy2018-2021-release-1-199613,10,10,0,1,10,0.11812233179807663
4,resstock-amy2018-2021-release-1-20199,10,10,0,1,10,0.514909565448761
5,resstock-amy2018-2021-release-1-216895,10,10,0,1,10,0.0
6,resstock-amy2018-2021-release-1-223581,10,10,0,1,10,0.09708058834075928
7,resstock-amy2018-2021-release-1-245723,10,10,0,1,10,0.11955718696117401
8,resstock-amy2018-2021-release-1-247942,10,10,0,1,10,0.0
9,resstock-amy2018-2021-release-1-319918,10,10,0,1,10,0.012719636783003807
10,resstock-amy2018-2021-release-1-376570,10,10,0,1,10,0.06718570739030838
11,resstock-amy2018-2021-release-1-408344,10,10,0,1,10,0.13265304267406464
12,resstock-amy2018-2021-release-1-409896,10,10,0,1,10,0.09828227758407593
13,resstock-amy2018-2021-release-1-411001,10,10,0,1,10,1.4628493545387755e-06
14,resstock-amy2018-2021-release-1-425540,10,10,0,1,10,0.03952623903751373
15,resstock-amy2018-2021-release-1-4421,10,10,0,1,10,0.8411074876785278
16,resstock-amy2018-2021-release-1-460412,10,10,0,1,10,0.00025199042283929884
17,resstock-amy2018-2021-release-1-467125,10,10,0,1,10,0.09978970140218735
18,resstock-amy2018-2021-release-1-481052,10,10,0,1,10,0.02184101566672325
19,resstock-amy2018-2021-release-1-485614,10,10,0,1,10,0.035679396241903305
20,resstock-amy2018-2021-release-1-498771,10,10,0,1,10,0.49807238578796387
21,resstock-amy2018-2021-release-1-525859,10,10,0,1,10,0.14873258769512177
22,resstock-amy2018-2021-release-1-538628,10,10,0,1,10,0.0
23,resstock-amy2018-2021-release-1-76701,10,10,0,1,10,0.0
24,resstock-amy2018-2021-release-1-88386,10,10,0,1,10,0.0
0,resstock-amy2018-2021-release-1-112208,11,11,0,1,11,0.07302404195070267
1,resstock-amy2018-2021-release-1-147002,11,11,0,1,11,0.8752771615982056
2,resstock-amy2018-2021-release-1-179247,11,11,0,1,11,0.35681942105293274
3,resstock-amy2018-2021-release-1-199613,11,11,0,1,11,0.09953662753105164
4,resstock-amy2018-2021-release-1-20199,11,11,0,1,11,0.4535866677761078
5,resstock-amy2018-2021-release-1-216895,11,11,0,1,11,0.0
6,resstock-amy2018-2021-release-1-223581,11,11,0,1,11,0.264487087726593
7,resstock-amy2018-2021-release-1-245723,11,11,0,1,11,0.149461567401886
8,resstock-amy2018-2021-release-1-247942,11,11,0,1,11,0.0
9,resstock-amy2018-2021-release-1-319918,11,11,0,1,11,0.5200828909873962
10,resstock-amy2018-2021-release-1-376570,11,11,0,1,11,0.06673368811607361
11,resstock-amy2018-2021-release-1-408344,11,11,0,1,11,0.1319010853767395
12,resstock-amy2018-2021-release-1-409896,11,11,0,1,11,0.09800045192241669
13,resstock-amy2018-2021-release-1-411001,11,11,0,1,11,0.09916622191667557
14,resstock-amy2018-2021-release-1-425540,11,11,0,1,11,0.09110650420188904
15,resstock-amy2018-2021-release-1-4421,11,11,0,1,11,0.576488196849823
16,resstock-amy2018-2021-release-1-460412,11,11,0,1,11,0.07593555003404617
17,resstock-amy2018-2021-release-1-467125,11,11,0,1,11,0.09975976496934891
18,resstock-amy2018-2021-release-1-481052,11,11,0,1,11,0.02169600874185562
19,resstock-amy2018-2021-release-1-485614,11,11,0,1,11,0.03536658361554146
20,resstock-amy2018-2021-release-1-498771,11,11,0,1,11,0.9791201949119568
21,resstock-amy2018-2021-release-1-525859,11,11,0,1,11,0.1484975963830948
22,resstock-amy2018-2021-release-1-538628,11,11,0,1,11,0.3476729393005371
23,resstock-amy2018-2021-release-1-76701,11,11,0,1,11,0.19397127628326416
24,resstock-amy2018-2021-release-1-88386,11,11,0,1,11,0.0
0,resstock-amy2018-2021-release-1-112208,12,12,0,1,12,0.0724482610821724
1,resstock-amy2018-2021-release-1-147002,12,12,0,1,12,0.756950855255127
2,resstock-amy2018-2021-release-1-179247,12,12,0,1,12,0.5505340695381165
3,resstock-amy2018-2021-release-1-199613,12,12,0,1,12,0.09874989092350006
4,resstock-amy2018-2021-release-1-20199,12,12,0,1,12,0.5081960558891296
5,resstock-amy2018-2021-release-1-216895,12,12,0,1,12,0.0
6,resstock-amy2018-2021-release-1-223581,12,12,0,1,12,0.42918434739112854
7,resstock-amy2018-2021-release-1-245723,12,12,0,1,12,0.11523007601499557
8,resstock-amy2018-2021-release-1-247942,12,12,0,1,12,0.0
9,resstock-amy2018-2021-release-1-319918,12,12,0,1,12,0.0
10,resstock-amy2018-2021-release-1-376570,12,12,0,1,12,0.0878877118229866
11,resstock-amy2018-2021-release-1-408344,12,12,0,1,12,0.22432366013526917
12,resstock-amy2018-2021-release-1-409896,12,12,0,1,12,0.25767257809638977
13,resstock-amy2018-2021-release-1-411001,12,12,0,1,12,0.3178732991218567
14,resstock-amy2018-2021-release-1-425540,12,12,0,1,12,0.14477278292179108
15,resstock-amy2018-2021-release-1-4421,12,12,0,1,12,0.9818031191825867
16,resstock-amy2018-2021-release-1-460412,12,12,0,1,12,0.04423939064145088
17,resstock-amy2018-2021-release-1-467125,12,12,0,1,12,0.21490773558616638
18,resstock-amy2018-2021-release-1-481052,12,12,0,1,12,0.021551962941884995
19,resstock-amy2018-2021-release-1-485614,12,12,0,1,12,0.03505651280283928
20,resstock-amy2018-2021-release-1-498771,12,12,0,1,12,0.9982972741127014
21,resstock-amy2018-2021-release-1-525859,12,12,0,1,12,0.29519903659820557
22,resstock-amy2018-2021-release-1-538628,12,12,0,1,12,0.15787681937217712
23,resstock-amy2018-2021-release-1-76701,12,12,0,1,12,0.38472992181777954
24,resstock-amy2018-2021-release-1-88386,12,12,0,1,12,0.13511325418949127
0,resstock-amy2018-2021-release-1-112208,13,13,0,1,13,0.14518658816814423
1,resstock-amy2018-2021-release-1-147002,13,13,0,1,13,0.5786142945289612
2,resstock-amy2018-2021-release-1-179247,13,13,0,1,13,0.7405627369880676
3,resstock-amy2018-2021-release-1-199613,13,13,0,1,13,0.10419805347919464
4,resstock-amy2018-2021-release-1-20199,13,13,0,1,13,0.5265706181526184
5,resstock-amy2018-2021-release-1-216895,13,13,0,1,13,0.0
6,resstock-amy2018-2021-release-1-223581,13,13,0,1,13,0.5912132859230042
7,resstock-amy2018-2021-release-1-245723,13,13,0,1,13,0.1451604813337326
8,resstock-amy2018-2021-release-1-247942,13,13,0,1,13,0.0
9,resstock-amy2018-2021-release-1-319918,13,13,0,1,13,0.507813036441803
10,resstock-amy2018-2021-release-1-376570,13,13,0,1,13,0.17147886753082275
11,resstock-amy2018-2021-release-1-408344,13,13,0,1,13,0.31572282314300537
12,resstock-amy2018-2021-release-1-409896,13,13,0,1,13,0.41532328724861145
13,resstock-amy2018-2021-release-1-411001,13,13,0,1,13,0.0731562077999115
14,resstock-amy2018-2021-release-1-425540,13,13,0,1,13,0.1981823742389679
15,resstock-amy2018-2021-release-1-4421,13,13,0,1,13,0.7901909947395325
16,resstock-amy2018-2021-release-1-460412,13,13,0,1,13,0.22714878618717194
17,resstock-amy2018-2021-release-1-467125,13,13,0,1,13,0.5036759376525879
18,resstock-amy2018-2021-release-1-481052,13,13,0,1,13,0.08923199772834778
19,resstock-amy2018-2021-release-1-485614,13,13,0,1,13,0.07437670230865479
20,resstock-amy2018-2021-release-1-498771,13,13,0,1,13,0.9994475245475769
21,resstock-amy2018-2021-release-1-525859,13,13,0,1,13,0.4403068423271179
22,resstock-amy2018-2021-release-1-538628,13,13,0,1,13,0.49863067269325256
23,resstock-amy2018-2021-release-1-76701,13,13,0,1,13,0.5723239779472351
24,resstock-amy2018-2021-release-1-88386,13,13,0,1,13,0.0
0,resstock-amy2018-2021-release-1-112208,14,14,0,1,14,0.21705515682697296
1,resstock-amy2018-2021-release-1-147002,14,14,0,1,14,0.7360626459121704
2,resstock-amy2018-2021-release-1-179247,14,14,0,1,14,0.9269715547561646
3,resstock-amy2018-2021-release-1-199613,14,14,0,1,14,0.18877273797988892
4,resstock-amy2018-2021-release-1-20199,14,14,0,1,14,0.5805103778839111
5,resstock-amy2018-2021-release-1-216895,14,14,0,1,14,0.09360321611166
6,resstock-amy2018-2021-release-1-223581,14,14,0,1,14,0.7506142258644104
7,resstock-amy2018-2021-release-1-245723,14,14,0,1,14,0.1109367311000824
8,resstock-amy2018-2021-release-1-247942,14,14,0,1,14,0.0
9,resstock-amy2018-2021-release-1-319918,14,14,0,1,14,0.6923729777336121
10,resstock-amy2018-2021-release-1-376570,14,14,0,1,14,0.2541084885597229
11,resstock-amy2018-2021-release-1-408344,14,14,0,1,14,0.3878128230571747
12,resstock-amy2018-2021-release-1-409896,14,14,0,1,14,0.570974588394165
13,resstock-amy2018-2021-release-1-411001,14,14,0,1,14,0.0
14,resstock-amy2018-2021-release-1-425540,14,14,0,1,14,0.25133636593818665
