hour,day,hour_of_day,baseline_load,plotted_target_load,rllib_independent_ppo,rllib_sac,mappo_standard,grouped_mappo
29,2,5,160.20606994628906,103.26987717391668,224.37729144096372,192.2990634441376,234.32498502731323,227.73584294319156
30,2,6,191.719970703125,103.26987717391668,217.295716047287,184.517614364624,225.16704535484317,238.92516899108887
31,2,7,192.1754302978516,103.26987717391668,175.67343616485596,141.3665030002594,180.2318767607212,190.0242056846619
32,2,8,187.8960723876953,103.26987717391668,129.6414783000946,97.6518816947937,140.60366368293762,164.93485569953918
33,2,9,198.0422821044922,103.26987717391668,114.26773643493652,80.34426641464233,72.25317430496216,130.54099082946777
34,2,10,202.27044677734372,103.26987717391668,74.50309705734253,44.175955414772034,46.92001867294312,95.63496851921082
35,2,11,199.45538330078125,103.26987717391668,50.137603521347046,11.633363842964172,5.681893825531006,56.724605560302734
36,2,12,174.63572692871094,103.26987717391668,36.26658487319946,4.173558235168457,67.29721474647522,22.15881586074829
37,2,13,171.51718139648438,103.26987717391668,58.81138968467712,28.292317032814022,32.862192153930664,53.20025324821472
38,2,14,164.59356689453125,103.26987717391668,106.90592610836028,70.48558175563812,160.39393091201782,89.31172943115234
39,2,15,159.27484130859375,103.26987717391668,186.0927083492279,136.04521489143372,203.29863542318344,181.37797796726227
40,2,16,192.863525390625,103.26987717391668,204.5565633773804,154.70147597789764,231.28632974624637,192.79962837696075
41,2,17,193.32672119140625,103.26987717391668,216.61926794052124,156.19374918937683,223.3897488117218,184.7422466278076
42,2,18,199.3632049560547,103.26987717391668,227.8973767757416,171.03278827667236,235.66550588607788,204.3958569765091
43,2,19,210.6775054931641,103.26987717391668,256.3214523792267,197.37849628925323,255.19356036186215,221.81488347053528
44,2,20,245.0757598876953,103.26987717391668,222.0363067984581,167.66826903820038,238.8969295024872,202.9350215792656
45,2,21,202.97161865234372,103.26987717391668,231.8116216659546,172.64623725414276,262.23989748954773,209.70676803588867
46,2,22,206.70538330078125,103.26987717391668,222.57748007774356,159.92540371418,247.4611313343048,222.87033128738403
47,2,23,189.5101776123047,103.26987717391668,226.6374592781067,161.12457072734833,248.525465965271,218.40201330184937
48,3,0,194.20797729492188,121.463727324625,231.3239164352417,166.73993182182312,252.47092509269717,232.75278425216675
49,3,1,195.23370361328125,121.463727324625,230.84219694137573,162.5931499004364,256.4352686405182,250.21598172187805
50,3,2,203.08139038085935,121.463727324625,234.359384059906,165.31033742427826,230.6240622997284,235.5149130821228
51,3,3,209.06427001953125,121.463727324625,234.0530891418457,161.50485253334045,234.65305709838867,243.332866191864
52,3,4,212.8380584716797,121.463727324625,237.7273097038269,167.86613762378693,252.472104549408,247.330094575882
53,3,5,221.72705078125,121.463727324625,239.16546297073364,168.20091223716736,231.715265750885,257.0246276855469
54,3,6,230.3590240478516,121.463727324625,245.0900273323059,177.46250212192535,299.36887311935425,249.05758237838745
55,3,7,242.30889892578125,121.463727324625,249.2200222015381,178.14515256881714,257.6974510550499,256.6344094276428
56,3,8,253.93865966796875,121.463727324625,236.6039843559265,181.3379236459732,274.137586593628,219.44113194942477
57,3,9,263.4026794433594,121.463727324625,128.63662457466123,85.46104097366333,137.0090936422348,125.11403155326845
58,3,10,207.1092834472656,121.463727324625,75.78695225715637,36.87969517707825,72.95414233207703,96.73806357383728
59,3,11,174.13238525390625,121.463727324625,45.87698531150818,10.211564540863035,22.970361948013306,41.046950340271
60,3,12,171.17733764648438,121.463727324625,40.73112070560455,24.475675582885746,65.67740428447723,40.65945184230805
61,3,13,149.13516235351562,121.463727324625,43.39776527881622,20.972991347312927,75.50397336483002,53.43769419193268
62,3,14,136.5680389404297,121.463727324625,78.51922190189362,57.45367980003357,84.31784039735794,79.06603860855103
63,3,15,132.8927459716797,121.463727324625,123.33266687393188,98.37504613399506,143.63479509949684,126.4315345287323
64,3,16,136.6708984375,121.463727324625,166.6406307220459,129.83649909496307,163.0965075492859,150.25914919376373
65,3,17,154.109375,121.463727324625,167.81129956245422,125.57828831672668,135.4664707183838,153.38518637418747
66,3,18,145.22459411621094,121.463727324625,171.16855359077454,127.61685180664062,149.46982526779175,151.61074042320251
67,3,19,147.2263641357422,121.463727324625,167.97378027439115,125.9426884651184,180.35941982269287,139.63196766376495
68,3,20,142.48736572265625,121.463727324625,162.9883692264557,123.60334289073944,210.92385172843933,142.5528280735016
69,3,21,134.16885375976562,121.463727324625,159.1475305557251,127.39601218700408,216.9261989593506,127.5165948867798
70,3,22,127.82412719726562,121.463727324625,151.85163116455078,116.25851035118104,184.84524166584012,140.8404789865017
71,3,23,116.21395111083984,121.463727324625,148.91317200660706,110.42104840278624,167.48396944999695,150.34164416790009
72,4,0,117.5577163696289,72.06773195127501,146.59114408493042,107.7264815568924,173.4442973136902,144.998251080513
73,4,1,115.8204574584961,72.06773195127501,145.57175278663635,112.39898943901062,145.20959782600403,144.65699636936188
74,4,2,116.86923217773438,72.06773195127501,143.54088163375854,108.61884582042694,160.70595383644104,136.2439822256565
75,4,3,108.60031127929688,72.06773195127501,139.62855648994446,110.90441691875458,154.20466876029968,124.04524970054626
76,4,4,110.2877960205078,72.06773195127501,140.05053210258484,108.33621287345886,127.73574137687685,131.0278022289276
77,4,5,115.12201690673828,72.06773195127501,133.51668643951416,105.72796607017516,139.44993042945862,124.07950472831726
78,4,6,109.3507843017578,72.06773195127501,135.93540155887604,115.64659547805786,141.15123343467712,135.9577190876007
79,4,7,127.7734832763672,72.06773195127501,121.71254897117616,104.00723898410796,125.26549124717712,121.2752242088318
80,4,8,137.87632751464844,72.06773195127501,107.54377460479736,86.57918131351471,118.1590273976326,93.43928492069244
81,4,9,134.03317260742188,72.06773195127501,126.3772132396698,103.71874678134918,135.47069483995438,136.1139938235283
82,4,10,136.14060974121094,72.06773195127501,87.71484005451202,67.02888303995132,113.53213280439375,84.89045453071594
83,4,11,122.11457824707033,72.06773195127501,57.18181324005127,40.72072088718414,66.82683646678925,42.97854769229889
84,4,12,115.9861068725586,72.06773195127501,65.80153357982635,50.11319100856781,63.73993945121765,50.58625340461731
85,4,13,118.62601470947266,72.06773195127501,90.41023969650269,73.63545209169388,83.22624278068542,64.31718158721924
86,4,14,105.59001159667967,72.06773195127501,104.52170097827911,83.94854247570038,91.71834430098534,100.6360676586628
87,4,15,104.8681869506836,72.06773195127501,111.02424478530884,93.53880620002748,101.69311419129372,99.8878093957901
88,4,16,103.2063217163086,72.06773195127501,128.3174374103546,111.0779641866684,146.05071306228638,134.61141872406006
89,4,17,115.14481353759766,72.06773195127501,131.0947945713997,117.65827000141144,139.41546714305878,128.7983559370041
90,4,18,114.84647369384766,72.06773195127501,122.25772881507874,108.2443608045578,124.25948870182036,98.07040452957152
91,4,19,101.98619079589844,72.06773195127501,129.86610388755798,115.2225296497345,141.91795420646667,109.61443382501602
92,4,20,108.47998046875,72.06773195127501,143.87064933776855,130.31437754631042,159.0389313697815,116.57520604133606
93,4,21,114.96304321289062,72.06773195127501,119.19480633735655,127.1454029083252,152.9238350391388,124.57204675674438
94,4,22,99.85574340820312,72.06773195127501,107.4661158323288,119.44293451309204,125.89694213867188,90.49974286556244
95,4,23,81.1248779296875,72.06773195127501,110.15129494667052,118.13796257972716,126.32364630699158,105.05972695350648
96,5,0,78.17172241210938,71.26784696154166,112.5641791820526,116.81568348407744,122.64234638214111,101.43584489822388
97,5,1,79.4224853515625,71.26784696154166,117.18220508098602,121.03935134410858,120.30188179016112,116.43167674541472
98,5,2,80.14398956298828,71.26784696154166,128.2499498128891,132.30811941623688,128.82603287696838,124.36950516700745
99,5,3,83.44194030761719,71.26784696154166,142.16123986244202,154.35462474822998,152.58040499687195,155.79209446907043
100,5,4,100.53376770019533,71.26784696154166,134.7948099374771,147.16240799427032,134.68312680721283,156.05944919586182
101,5,5,92.37097930908205,71.26784696154166,151.64294147491455,159.94863843917847,163.40538656711578,165.20109844207764
102,5,6,120.0402374267578,71.26784696154166,161.86122798919678,166.6487671136856,166.78540182113647,172.75057578086853
103,5,7,149.93431091308594,71.26784696154166,128.75331664085388,128.8848022222519,134.30205595493317,137.85207387804985
104,5,8,154.61605834960938,71.26784696154166,103.26804864406586,95.34961807727814,79.05710172653198,114.26565253734589
105,5,9,157.67286682128906,71.26784696154166,39.16113924980164,38.52404832839966,47.50390827655792,40.214348793029785
106,5,10,151.58506774902344,71.26784696154166,2.1626038551330566,5.764888286590576,-23.871842861175537,17.173133373260498
107,5,11,139.9095458984375,71.26784696154166,-13.838008046150208,-20.82005548477173,-64.56936526298523,-15.411549091339111
108,5,12,129.51828002929688,71.26784696154166,-11.072516202926636,-15.8771812915802,-73.20362114906311,-18.61833906173706
109,5,13,128.98028564453125,71.26784696154166,-1.6799360513687134,-4.197444438934326,4.113250494003296,-8.192893028259277
110,5,14,128.3931427001953,71.26784696154166,49.4580397605896,39.78677099943161,17.208128213882446,41.09851956367493
111,5,15,131.8480682373047,71.26784696154166,98.88802337646484,87.79890370368958,115.43727988004684,81.51692682504654
112,5,16,121.1309051513672,71.26784696154166,162.34527111053467,133.49671459197998,151.0244550704956,146.44120109081268
113,5,17,144.03631591796875,71.26784696154166,176.28849744796753,130.06272649765015,197.03747868537903,151.28507548570633
114,5,18,152.67051696777344,71.26784696154166,186.34121179580688,137.74011659622192,158.03079175949097,141.74221467971802
115,5,19,162.7741241455078,71.26784696154166,187.09380435943604,138.3514904975891,202.50637340545651,170.70071083307266
116,5,20,169.89967346191406,71.26784696154166,200.87463855743408,153.10413002967834,237.48840522766116,183.93399810791016
117,5,21,180.68698120117188,71.26784696154166,202.2180066108704,155.8422476053238,218.338783621788,210.52317881584167
118,5,22,180.05746459960938,71.26784696154166,189.690434217453,141.24730050563812,214.29180765151975,163.8692934513092
119,5,23,157.05416870117188,71.26784696154166,197.513457775116,148.7963091135025,208.71593403816223,199.04546308517456
120,6,0,158.07778930664062,80.61506569283334,181.01202511787412,133.86058735847473,174.65468335151672,162.41295266151428
121,6,1,144.13592529296875,80.61506569283334,176.28128719329834,141.4401295185089,188.5893290042877,162.563551902771
122,6,2,141.480224609375,80.61506569283334,179.9443690776825,148.73625457286835,190.8856874704361,175.7029664516449
123,6,3,155.74423217773438,80.61506569283334,173.6691756248474,154.83466398715973,187.31796598434448,209.6958713531494
124,6,4,153.13185119628906,80.61506569283334,183.1823420524597,157.38833785057068,182.73734259605408,189.214599609375
125,6,5,162.6243896484375,80.61506569283334,187.8567018508911,159.320415019989,196.9957537651062,222.94114303588867
126,6,6,168.98666381835938,80.61506569283334,189.25657844543457,159.81639111042023,197.7817747592926,176.99048221111298
127,6,7,176.8641815185547,80.61506569283334,129.83633685112,117.30373013019562,151.51026117801666,170.0725532770157
128,6,8,158.0970001220703,80.61506569283334,92.64912188053133,67.58644831180573,93.22284972667694,53.70808851718903
129,6,9,153.86895751953125,80.61506569283334,51.94762539863586,48.767364501953125,74.56808090209961,84.36190831661224
130,6,10,136.30743408203125,80.61506569283334,32.33111298084259,15.978923916816711,15.433850765228271,-9.76538348197937
131,6,11,127.56554412841795,80.61506569283334,22.689626574516296,10.252796411514282,-8.335613131523132,20.45492684841156
132,6,12,116.27396392822266,80.61506569283334,6.069472908973694,-8.680306792259216,25.1526597738266,-4.984482526779175
133,6,13,113.38762664794922,80.61506569283334,46.88531053066254,46.96363425254822,-9.789666056632996,57.98912715911865
134,6,14,99.06981658935548,80.61506569283334,62.5354346036911,40.4094911813736,90.8304545879364,54.04550155997276
135,6,15,107.7353515625,80.61506569283334,115.71063423156738,111.64916640520096,79.24290242791176,112.0856237411499
136,6,16,122.45207214355467,80.61506569283334,145.00749135017395,121.27853059768675,147.2954894900322,126.39967083930968
137,6,17,115.14341735839844,80.61506569283334,155.68519115447998,132.99896347522736,168.89579343795776,137.7800143957138
138,6,18,129.88645935058594,80.61506569283334,156.94028520584106,128.21952211856842,125.54813766479492,122.79827618598938
139,6,19,124.01764678955078,80.61506569283334,157.14318180084229,131.79677534103394,178.14146447181702,126.30940508842468
140,6,20,131.8513641357422,80.61506569283334,172.60779333114624,139.63945627212524,183.7184805870056,139.1180579662323
141,6,21,136.33230590820312,80.61506569283334,182.52432346343997,148.94304060935974,201.1688311100006,166.6243000626564
142,6,22,139.46896362304688,80.61506569283334,169.8820550441742,132.70171236991882,164.43346333503723,140.67219424247742
143,6,23,136.6112060546875,80.61506569283334,181.32610058784485,129.77135860919952,196.16613841056824,177.84200143814087
144,7,0,139.88299560546875,106.18141793066668,191.70827198028564,135.74365949630737,211.2283034324646,155.6389712691307
145,7,1,150.8599395751953,106.18141793066668,195.44368195533752,136.18351650238037,210.59226322174072,180.32874059677124
146,7,2,152.77090454101562,106.18141793066668,194.80961441993716,134.42153537273407,210.3856410980225,160.49489563703537
147,7,3,160.09622192382812,106.18141793066668,198.14661026000977,134.9409168958664,200.30394387245175,177.5547068119049
148,7,4,167.9008026123047,106.18141793066668,204.92423152923584,142.78961551189423,205.63014125823972,182.59168314933777
149,7,5,175.3134002685547,106.18141793066668,210.451509475708,154.47864866256714,204.9436159133911,196.30193758010864
150,7,6,192.95782470703125,106.18141793066668,214.56695652008057,158.35366940498352,203.94092655181885,192.06727504730225
151,7,7,192.94113159179688,106.18141793066668,185.48352527618408,141.19934856891632,230.13532996177676,195.73188418149948
152,7,8,178.00241088867188,106.18141793066668,184.24245882034305,135.51075160503387,181.1272168159485,157.30033391714096
153,7,9,180.03475952148438,106.18141793066668,160.12940680980682,117.43934172391891,176.52563852071762,173.8909513950348
154,7,10,175.01388549804688,106.18141793066668,138.14665961265564,93.55100536346436,156.8539538383484,123.21881854534148
155,7,11,153.18109130859375,106.18141793066668,140.9626100063324,93.2501648068428,139.14065945148468,115.76334398984908
156,7,12,154.5482635498047,106.18141793066668,123.6951025724411,81.10712432861328,118.59736692905426,120.11257803440094
157,7,13,135.68231201171875,106.18141793066668,134.53564929962158,92.62486273050308,132.51250380277634,121.35737890005112
158,7,14,133.771728515625,106.18141793066668,150.04165482521057,111.62890458106996,130.81134366989136,172.09739309549332
159,7,15,137.4683380126953,106.18141793066668,155.9587265253067,118.5234433412552,139.8077780008316,157.7913622185588
160,7,16,137.81353759765625,106.18141793066668,164.293315410614,128.389772772789,150.2798912525177,149.19930922985077
161,7,17,142.29466247558594,106.18141793066668,172.2698130607605,138.8825662136078,169.7639355659485,142.4121229350567
162,7,18,145.57952880859375,106.18141793066668,162.8006455898285,134.43595457077026,155.03221344947815,136.81507897377014
163,7,19,142.75799560546875,106.18141793066668,181.94002103805545,154.19714522361755,200.1497223377228,155.95130395889282
164,7,20,165.6304168701172,106.18141793066668,186.53132140636444,160.42144083976746,199.5886297225952,168.4277946949005
165,7,21,167.166259765625,106.18141793066668,194.63893032073972,162.4311168193817,193.2460262775421,185.1292049884796
166,7,22,165.04071044921875,106.18141793066668,180.1065833568573,144.89400148391724,178.18725681304932,175.11796069145203
167,7,23,149.84689331054688,106.18141793066668,183.73037576675412,145.41433143615723,196.5182852745056,170.151709318161
168,8,0,142.1890106201172,92.26443310588331,187.00383496284485,143.4491741657257,195.6286692619324,181.8779957294464
169,8,1,139.93360900878906,92.26443310588331,188.02798199653623,147.4897882938385,187.49106812477112,192.4692416191101
170,8,2,135.25437927246094,92.26443310588331,182.8682465553284,155.76589715480804,204.23521780967712,203.65007400512692
171,8,3,140.20326232910156,92.26443310588331,186.10566806793213,154.27376472949982,187.8678133487701,212.1923124790192
172,8,4,148.71861267089844,92.26443310588331,203.2743134498596,167.99550008773804,198.2251739501953,251.1993625164032
173,8,5,170.20108032226562,92.26443310588331,203.3988127708435,167.9140772819519,203.7881886959076,197.23090249300003
174,8,6,175.5980682373047,92.26443310588331,210.9353232383728,173.4435932636261,209.0594551563263,221.5176432132721
175,8,7,188.0489196777344,92.26443310588331,171.06506502628326,136.06325161457062,190.3018889427185,171.8945927619934
176,8,8,179.358154296875,92.26443310588331,118.53482341766356,105.48797953128816,124.24376380443572,148.37316024303436
177,8,9,161.26690673828125,92.26443310588331,73.65266382694244,56.276618242263794,81.8526885509491,92.07762455940248
178,8,10,150.1875762939453,92.26443310588331,16.150038719177246,-3.5861979722976685,-10.44423222541809,35.989060163497925
179,8,11,129.63169860839844,92.26443310588331,17.66264498233795,10.32753610610962,-26.34922182559967,-3.77925705909729
180,8,12,134.81529235839844,92.26443310588331,4.3013787269592285,-0.5743803977966309,21.736931562423703,8.198073506355286
181,8,13,113.92491149902344,92.26443310588331,6.409496784210205,-3.4698452949523926,-19.712273836135864,-19.5077406167984
182,8,14,105.67442321777344,92.26443310588331,45.54715263843536,41.85063517093658,66.89583683013916,53.91532444953919
183,8,15,108.75962829589844,92.26443310588331,118.32320058345796,105.48151552677156,95.13704954087734,106.34586489200592
184,8,16,126.64865112304688,92.26443310588331,162.71144580841064,136.6088868379593,153.92099726200104,181.29610443115237
185,8,17,143.97845458984375,92.26443310588331,196.57363748550412,152.18217372894287,176.34514486789703,164.26212334632874
186,8,18,168.5128173828125,92.26443310588331,180.2930493354797,135.6381494998932,174.610715508461,155.00330710411072
187,8,19,153.3239288330078,92.26443310588331,223.79540467262268,179.29818749427795,242.7043130397797,180.95686054229736
188,8,20,195.030029296875,92.26443310588331,213.0814778804779,168.52939891815186,231.6707468032837,201.24100828170776
189,8,21,186.54673767089844,92.26443310588331,198.86307644844052,147.64501321315765,192.36469113826752,179.85052347183228
190,8,22,160.80062866210938,92.26443310588331,188.3755707740784,138.41452312469482,235.31146955490112,172.18505549430847
191,8,23,145.28880310058594,92.26443310588331,175.80796790122986,128.38699972629547,201.89496660232544,158.01811170578003
192,9,0,135.0784454345703,88.72331906716666,177.05846095085144,135.0382354259491,170.61379981040955,157.1422609090805
193,9,1,132.4397735595703,88.72331906716666,173.73165559768677,135.65485215187073,158.63986158370972,170.47118020057678
194,9,2,133.08790588378906,88.72331906716666,182.13400983810425,144.64583480358124,185.76388359069824,197.63609051704407
195,9,3,148.6800994873047,88.72331906716666,191.16371655464167,142.76820623874664,165.21179258823395,205.49990558624268
196,9,4,153.17068481445312,88.72331906716666,202.2858309745789,153.34938299655914,190.24441850185397,196.45302319526672
197,9,5,174.52694702148438,88.72331906716666,188.20758438110352,136.19261074066162,174.34058713912964,184.5383870601654
198,9,6,172.4080810546875,88.72331906716666,192.701358795166,148.2365107536316,198.53995180130005,194.812922000885
199,9,7,180.24871826171875,88.72331906716666,181.4408595561981,139.2818567752838,166.36721962690353,207.16183233261108
200,9,8,190.7701873779297,88.72331906716666,137.54369521141052,98.9919353723526,141.95411264896393,125.67683506011964
201,9,9,165.40708923339844,88.72331906716666,106.37180733680724,74.1277368068695,96.4963001012802,126.31216061115263
202,9,10,159.5432586669922,88.72331906716666,70.32714188098907,39.672311663627625,83.34208106994629,43.89649975299835
203,9,11,149.3296356201172,88.72331906716666,26.609936237335205,-6.648603558540344,4.603996753692627,33.12015986442566
204,9,12,130.61737060546875,88.72331906716666,10.824679613113403,-9.608817458152773,3.1707009077072144,-6.793901920318604
205,9,13,115.92980194091795,88.72331906716666,30.88926100730896,11.270190119743347,17.642178654670715,23.89419138431549
206,9,14,116.64804077148438,88.72331906716666,66.55325472354889,45.53530949354172,93.80303871631622,57.08051085472107
207,9,15,126.0718002319336,88.72331906716666,108.32433462142944,86.05166238546371,107.08091735839844,106.35165762901306
208,9,16,126.70282745361328,88.72331906716666,148.23899674415588,118.96213757991792,140.6301091611385,121.9909284710884
209,9,17,134.64956665039062,88.72331906716666,167.87771201133728,129.1295964717865,141.48001098632812,149.75101351737976
210,9,18,148.08497619628906,88.72331906716666,166.51186752319336,129.22622883319855,168.0726878643036,156.63486659526825
211,9,19,151.04530334472656,88.72331906716666,174.44939064979553,134.7621772289276,194.9803984165192,150.76570856571198
212,9,20,152.98170471191406,88.72331906716666,164.76204681396484,128.12339055538175,212.74421215057373,154.66061532497406
213,9,21,141.37355041503906,88.72331906716666,158.45462203025818,119.40131092071532,195.7745020389557,136.8337062895298
214,9,22,128.45135498046875,88.72331906716666,152.603431224823,113.24202942848206,186.9800560474396,123.03717130422592
215,9,23,112.77757263183594,88.72331906716666,146.46730375289917,105.8541704416275,188.54067707061768,119.78922417759895
216,10,0,106.42488098144533,73.654282278,149.6734733581543,111.43908929824828,188.55714344978333,147.31315767765045
217,10,1,107.94651794433594,73.654282278,139.5453188419342,107.09854590892792,160.07590293884277,132.25677955150604
218,10,2,98.59461212158205,73.654282278,131.92576456069946,106.75342631340028,146.80273389816284,123.5266452729702
219,10,3,95.38550567626952,73.654282278,128.9658980369568,107.60233771800996,144.30865955352783,107.29874074459076
220,10,4,97.76524353027344,73.654282278,126.58838963508606,106.77379548549652,145.31081533432007,120.2641054391861
221,10,5,95.59867095947266,73.654282278,120.91975510120392,107.38974285125732,135.91687202453613,113.71610575914384
222,10,6,103.54317474365234,73.654282278,117.5360894203186,105.6030935049057,120.50751439481974,138.46314001083374
223,10,7,112.14601135253906,73.654282278,109.42761468887328,102.49412453174592,129.94137454032898,106.34578037261964
224,10,8,113.5704345703125,73.654282278,124.4939421415329,120.3216633796692,133.72039127349854,142.32757556438446
225,10,9,124.98796081542967,73.654282278,95.4059870839119,98.43450236320496,120.3416717350483,81.4022034406662
226,10,10,106.65741729736328,73.654282278,97.18852576613426,89.00764352083206,129.87391996383667,102.56402099132538
227,10,11,103.03411865234376,73.654282278,85.62459969520569,82.01396304368973,113.0195084810257,72.28944480419159
228,10,12,91.97396850585938,73.654282278,77.16702696681023,75.53289467096329,91.45871031284332,87.21334430575371
229,10,13,82.91075134277344,73.654282278,81.12775564193726,76.03139233589172,89.8686950802803,70.98965936899185
230,10,14,89.12312316894531,73.654282278,85.15630656480789,72.11013269424438,89.91631805896759,91.27467757463457
231,10,15,103.51242065429688,73.654282278,117.74729466438292,96.09887683391572,111.44686785340308,95.89929714798927
232,10,16,106.95787811279295,73.654282278,142.25551235675812,113.612353682518,136.97620725631714,126.36497962474824
233,10,17,123.30328369140624,73.654282278,149.01644492149353,118.3939130306244,106.04769897460938,149.20052433013916
234,10,18,127.27462768554688,73.654282278,162.90254473686218,127.90721654891968,134.73198914527893,144.98204839229584
235,10,19,136.42791748046875,73.654282278,164.27840113639832,132.0466103553772,154.02638006210327,149.99433398246765
236,10,20,138.4094696044922,73.654282278,175.93273210525513,141.48497939109802,162.61779153347015,182.08654510974884
237,10,21,148.08236694335938,73.654282278,151.99453711509705,118.78134322166444,157.18157029151917,139.04729735851288
238,10,22,125.390625,73.654282278,151.43631052970886,116.78385818004608,152.67414927482605,138.63102397322655
239,10,23,120.31954193115234,73.654282278,156.95151352882385,112.52647888660432,178.52266454696655,152.3430938720703
240,11,0,117.93577575683594,76.35465082491667,157.04290127754211,112.60524201393127,175.77793538570404,144.79434192180634
241,11,1,114.83834075927734,76.35465082491667,157.4489619731903,113.91528749465942,166.43236374855042,142.63225850462914
242,11,2,115.71158599853516,76.35465082491667,157.0777895450592,111.69249212741852,144.087632894516,142.70058345794678
243,11,3,115.96128845214844,76.35465082491667,157.72965693473816,111.6248095035553,158.20402717590332,141.45403915643692
244,11,4,116.0054931640625,76.35465082491667,168.90402841567993,125.89655792713164,137.87485361099243,158.154545545578
245,11,5,128.3731689453125,76.35465082491667,159.62459230422974,117.86571300029756,153.55424237251282,140.07049679756165
246,11,6,129.89291381835938,76.35465082491667,169.38920187950134,128.79556441307068,153.5143147110939,144.66451787948608
247,11,7,150.28079223632812,76.35465082491667,165.62337791919708,129.3293937444687,166.10648861527443,176.05334651470184
248,11,8,153.50563049316406,76.35465082491667,135.10648196935654,96.92684954404832,160.79593592882156,112.56102299690248
249,11,9,137.64222717285156,76.35465082491667,131.06781208515167,93.67135268449783,145.26380860805511,130.78543651103973
250,11,10,150.5970001220703,76.35465082491667,118.40047955513,82.91868722438812,142.07096576690674,102.68407785892488
251,11,11,142.9279022216797,76.35465082491667,104.26177442073822,71.80826485157013,118.0779219865799,103.97638994455338
252,11,12,129.72557067871094,76.35465082491667,81.67720729112625,55.15147924423218,101.38312709331512,63.652071714401245
253,11,13,115.06820678710938,76.35465082491667,92.78799629211426,65.97577166557312,118.18762427568436,97.16977590322496
254,11,14,108.52713775634766,76.35465082491667,108.23338294029236,83.13042122125626,128.37150919437408,105.30508488416672
255,11,15,106.6511459350586,76.35465082491667,107.9540719985962,90.43333411216736,113.37733387947084,115.9859064221382
256,11,16,102.60472869873048,76.35465082491667,116.40154552459715,96.09573781490326,124.31756162643433,121.79578185081482
257,11,17,98.16779327392578,76.35465082491667,132.15011429786682,117.73608100414276,133.0242235660553,123.3785718679428
