hour,day,hour_of_day,baseline_load,plotted_target_load,grouped_comm_v2,tarmac,gat,powernet_global,dial,weighted_comm_default
22,1,22,77.84564971923828,56.264562810600005,152.92117059230804,88.61387276649475,149.89302325248718,149.27472034096718,158.16862535476685,109.04074394702911
23,1,23,91.6836395263672,56.264562810600005,164.63591122627258,129.77725294232368,154.80763792991638,135.3750011920929,188.27387404441836,113.87078928947447
24,2,0,95.44234466552734,103.26987717391668,165.77472722530365,123.52833408117294,155.04185438156128,146.94163990020752,186.3392699956894,123.01304268836977
25,2,1,112.69786071777344,103.26987717391668,156.09208977222443,128.09366169571877,164.79240584373474,142.90041947364807,204.50845336914065,129.4255155324936
26,2,2,107.75880432128906,103.26987717391668,144.94231915473938,140.7027381658554,128.6214040517807,148.8945951461792,188.42996776103973,143.12651419639587
27,2,3,120.53536987304688,103.26987717391668,149.7595705986023,164.95677399635315,136.07107508182526,192.25980973243716,166.4182881116867,152.80201649665833
28,2,4,127.66242218017578,103.26987717391668,156.67264997959137,173.16332960128784,160.6637521982193,207.36725068092343,190.30435997247696,194.33191084861755
29,2,5,145.71302795410156,103.26987717391668,186.6182632446289,200.18476915359497,193.024838924408,230.17518997192383,188.31838327646253,190.92768621444705
30,2,6,182.42465209960935,103.26987717391668,178.97023248672485,199.53661489486691,163.57217121124268,229.679447889328,188.42740714550015,213.6314642429352
31,2,7,187.05474853515625,103.26987717391668,196.90060818195343,179.4920317530632,144.00774538516998,185.09871518611908,159.1432797908783,190.4082205891609
32,2,8,196.02426147460935,103.26987717391668,146.3406958580017,127.35683262348176,95.81949639320374,158.04596424102783,106.66565501689912,131.33653497695923
33,2,9,204.2544403076172,103.26987717391668,80.53914487361908,90.97035145759584,86.71408677101135,131.21368217468262,104.78351473808289,133.50396418571472
34,2,10,189.5810089111328,103.26987717391668,50.826005697250366,71.63965082168579,69.46669125556946,93.30716061592102,55.98718929290772,83.77957034111023
35,2,11,189.03857421875,103.26987717391668,14.88146185874939,20.84001636505127,51.79221677780152,53.03545260429382,35.76306676864624,64.45495176315308
36,2,12,165.27540588378906,103.26987717391668,20.72443652153015,41.11900091171265,46.812328815460205,32.11874723434448,3.889005661010742,43.39306783676148
37,2,13,163.39498901367188,103.26987717391668,11.245070099830627,37.226356983184814,61.92582583427429,55.67043423652649,24.35617208480835,59.95592451095581
38,2,14,155.6564178466797,103.26987717391668,72.37137079238892,80.71032285690308,110.1095688343048,112.13220286369324,79.5707836151123,105.11469316482544
39,2,15,150.84466552734375,103.26987717391668,178.88276028633118,209.4981815814972,180.71427059173584,218.5988767147064,149.51093035936356,174.63362956047058
40,2,16,184.52284240722656,103.26987717391668,200.65077364444733,200.1059450507164,197.6429958343506,235.28286266326904,183.3841979503632,186.44048500061035
41,2,17,193.63429260253903,103.26987717391668,236.5262644290924,222.15662026405332,207.82742881774905,220.9553508758545,215.2644590139389,194.61522579193115
42,2,18,198.595703125,103.26987717391668,224.2015008926392,237.74422073364255,206.8466165065765,251.7186872959137,239.29567432403564,218.46559357643127
43,2,19,209.87396240234372,103.26987717391668,266.34138917922974,246.04037475585935,251.31742072105408,242.06386828422544,246.3662840127945,245.4831702709198
44,2,20,243.89041137695312,103.26987717391668,249.36355447769165,204.43220281600952,195.8469709157944,225.04045939445496,243.87430012226105,221.66183638572693
45,2,21,204.1798095703125,103.26987717391668,267.29035782814026,249.01595973968503,235.72525835037231,234.84302401542664,252.3042907714844,234.4057297706604
46,2,22,207.78549194335935,103.26987717391668,232.38842630386355,197.51475530862808,197.29850959777832,231.63851499557492,230.4057819843292,231.0512616634369
47,2,23,189.02133178710935,103.26987717391668,237.8005394935608,215.49935150146484,223.68328332901,248.04639720916748,242.11478638648987,217.3388359546661
48,3,0,193.0967712402344,121.463727324625,234.0617537498474,205.62214720249176,228.88756895065308,242.1011288166046,252.60187673568728,240.5184953212738
49,3,1,197.36068725585935,121.463727324625,238.9692759513855,238.70227229595184,240.5212345123291,235.2869212627411,240.96379041671756,224.0944859981537
50,3,2,200.2850646972656,121.463727324625,238.42214107513428,238.4403476715088,250.087019443512,239.52164125442505,246.02634620666504,264.92691469192505
51,3,3,211.34506225585935,121.463727324625,241.44824361801147,235.5096864700317,263.68482780456543,231.2350647449493,222.40774655342105,241.30225324630737
52,3,4,212.3661651611328,121.463727324625,242.84578895568848,231.32206463813785,236.81073474884036,236.93141889572144,209.4344744682312,275.41794443130493
53,3,5,221.9376373291016,121.463727324625,248.3585476875305,258.76786756515503,227.6775302886963,225.67851519584656,179.54943013191223,239.3822009563446
54,3,6,230.8044891357422,121.463727324625,236.26083993911743,234.52474105358124,228.60055780410767,221.04934692382807,203.66066074371335,260.2900719642639
55,3,7,243.1004180908203,121.463727324625,270.26667881011963,252.1222426891327,231.86098861694336,244.0338156223297,227.8849277496338,250.1740863323212
56,3,8,258.5841979980469,121.463727324625,252.79871320724487,243.1920170783997,228.27807891368863,228.8242678642273,239.09843230247495,247.2037831544876
57,3,9,270.42547607421875,121.463727324625,172.0726101398468,138.09718668460846,121.00841236114502,118.62452602386476,126.48199832439424,118.90005838871002
58,3,10,215.11639404296875,121.463727324625,85.38947892189026,80.39738631248474,88.03656768798828,92.7776608467102,100.08114743232728,76.2459956407547
59,3,11,178.76768493652344,121.463727324625,39.04010045528412,46.037104845047,60.045172929763794,59.94945955276489,55.64207088947296,48.43954253196716
60,3,12,171.79380798339844,121.463727324625,26.451445817947388,50.58262586593628,56.19419085979462,70.72548961639404,68.7718335390091,57.4773964881897
61,3,13,150.16859436035156,121.463727324625,46.28034424781799,54.27207517623901,76.3050651550293,61.06359720230103,74.99474787712097,48.81897139549256
62,3,14,140.23226928710938,121.463727324625,58.264180123806,106.30694818496704,49.33588647842407,98.12965929508208,101.86254107952118,77.90752279758453
63,3,15,128.96417236328125,121.463727324625,143.91601765155792,122.09400534629822,148.54037189483645,156.45422863960266,163.23411309719086,130.50667548179626
64,3,16,136.8740997314453,121.463727324625,165.58799386024475,160.78697568178177,131.9298436641693,177.29528188705444,156.0581905245781,159.8173360824585
65,3,17,151.2753448486328,121.463727324625,167.4444472193718,169.30314826965332,179.50141513347626,160.1552562713623,155.74860048294067,177.4399061203003
66,3,18,143.5692138671875,121.463727324625,165.25124096870422,144.10887169837952,129.57285809516907,154.15540158748627,166.73342752456665,157.07054817676544
67,3,19,146.15695190429688,121.463727324625,141.858540058136,173.66725850105286,174.94072675704956,129.04994040727615,160.74749946594238,151.11114692687988
68,3,20,133.56752014160156,121.463727324625,146.28422617912292,138.68351542949677,155.40500807762146,155.95474767684937,165.2904736995697,146.7084367275238
69,3,21,128.20623779296875,121.463727324625,163.62622165679932,176.17370462417605,167.99274325370789,136.70192551612854,168.1706019639969,164.63558650016785
70,3,22,127.13275909423828,121.463727324625,157.93626379966736,135.64501070976257,152.98253107070923,143.1878319978714,124.13395038247108,139.33154034614563
71,3,23,113.44141387939452,121.463727324625,139.0771853029728,168.4331042766571,144.4395787715912,144.3181927204132,123.30851554870604,131.26344275474548
72,4,0,115.40795135498048,72.06773195127501,160.52851223945618,137.11017686128616,130.67679572105408,148.87450581789017,117.5722645521164,131.4416868686676
73,4,1,114.46881866455078,72.06773195127501,135.64161479473114,126.55252170562744,133.63972115516663,146.67076539993286,119.44869261980055,136.01063656806946
74,4,2,113.58196258544922,72.06773195127501,139.36938881874084,131.61611318588257,117.52850782871246,142.8045995235443,105.4733829498291,127.9405312538147
75,4,3,106.19221496582033,72.06773195127501,132.54154813289642,115.16491124033928,136.38636875152588,144.14664697647095,111.78035205602646,133.0602880716324
76,4,4,106.19307708740234,72.06773195127501,119.5498012304306,124.06468558311462,111.01349052786829,132.70384216308594,100.69393849372864,133.77915501594543
77,4,5,110.84555053710938,72.06773195127501,117.3555793762207,127.30575323104858,146.0863699913025,124.9754445552826,137.83462727069855,131.99101614952087
78,4,6,104.66710662841795,72.06773195127501,110.217529296875,124.30173137784004,118.15134632587431,119.3072029352188,144.4981198310852,132.91829565167427
79,4,7,121.76676940917967,72.06773195127501,118.42108857631683,109.67110347747804,125.96822905540466,111.55558753013612,116.26483541727066,117.95694690942764
80,4,8,136.57315063476562,72.06773195127501,109.07699996232986,113.09939455986024,90.87661242485046,106.42379689216614,94.9929878115654,100.11197012662888
81,4,9,132.12353515625,72.06773195127501,111.17799603939056,121.69127714633942,101.07384818792345,119.37409818172456,123.72526913881302,109.66108679771423
82,4,10,133.30125427246094,72.06773195127501,77.97011542320251,79.71023237705231,66.00832390785217,100.36965465545654,50.05441933870316,83.16323745250702
83,4,11,119.5793228149414,72.06773195127501,29.19106721878052,29.688839316368103,51.00079846382141,58.688825845718384,16.17940080165863,52.38028573989868
84,4,12,112.6951904296875,72.06773195127501,34.89745473861694,51.06072461605072,56.535927176475525,54.594576954841614,21.79055881500244,58.06699442863464
85,4,13,112.61154174804688,72.06773195127501,43.64208912849426,98.1452944278717,78.30497014522552,95.7165709733963,40.259426295757294,84.76988184452057
86,4,14,99.87879180908205,72.06773195127501,91.5284811258316,97.42925441265106,113.24584567546844,123.00970339775084,67.3808836042881,100.77906560897829
87,4,15,100.26728057861328,72.06773195127501,106.62274730205536,83.74321155250072,108.00563287734984,118.15203177928925,81.7441395521164,126.85556077957152
88,4,16,101.5513687133789,72.06773195127501,131.16341543197632,112.81870579719543,138.196761906147,134.28927946090698,119.28490591049194,132.20357656478882
89,4,17,112.79793548583984,72.06773195127501,130.38010993599892,125.67656326293944,153.93579602241516,135.71817660331726,148.891854763031,147.32322669029236
90,4,18,111.62776184082033,72.06773195127501,114.3347828388214,107.3323090672493,111.76471370458604,109.30206823349,136.9569706916809,121.04074776172638
91,4,19,99.1876220703125,72.06773195127501,115.50815904140472,117.17268633842468,142.45699310302734,130.1751766204834,141.95901489257812,128.73412132263184
92,4,20,104.15387725830078,72.06773195127501,135.4493578672409,130.98176473379135,121.33953654766084,140.4503297805786,152.82858622074127,115.17975866794586
93,4,21,113.19488525390624,72.06773195127501,123.355574965477,98.5822298526764,147.82798433303833,141.84417259693146,186.86878407001493,106.11936962604524
94,4,22,99.45592498779295,72.06773195127501,117.955016374588,109.6204503774643,136.87399291992188,105.6873040497303,168.95807671546936,91.44313299655914
95,4,23,83.4729995727539,72.06773195127501,115.94076788425446,76.47203570604324,122.74401211738586,111.6089769601822,162.20652174949646,97.21551609039308
96,5,0,80.20663452148438,71.26784696154166,122.02195513248444,100.52838808298112,116.817973613739,107.7822687625885,138.97744059562683,109.35029256343842
97,5,1,79.41280364990234,71.26784696154166,111.14267206192017,76.7903818488121,122.72409415245056,102.83327889442444,136.4222536087036,119.91727590560912
98,5,2,80.25402069091797,71.26784696154166,111.0691145658493,127.44772946834564,126.6654531955719,102.58111834526062,148.264829069376,110.82866847515106
99,5,3,81.16465759277344,71.26784696154166,146.4219241142273,139.82985883951187,111.4250922203064,123.5759665966034,160.23644617199898,129.29920554161072
100,5,4,99.3834991455078,71.26784696154166,94.28023993968964,119.85378623008728,112.76217031478882,121.59334087371826,81.60365289449692,139.18210864067078
101,5,5,86.60247039794922,71.26784696154166,127.14287507534029,149.68449485301971,123.50329184532166,137.21394288539886,76.92378303408623,148.9896433353424
102,5,6,117.32553100585938,71.26784696154166,110.50089263916016,142.87836980819702,141.2074997425079,144.55006802082062,90.8946808576584,140.89912605285645
103,5,7,146.63528442382812,71.26784696154166,141.23542016744614,132.15136098861694,141.52511367201805,115.05767840147018,71.77369531989098,116.8067039847374
104,5,8,159.90963745117188,71.26784696154166,124.66560792922974,108.6297606229782,74.77147090435028,87.53635942935944,102.94213438034058,122.86559534072876
105,5,9,164.5292510986328,71.26784696154166,60.7731237411499,45.02150130271912,13.064069271087646,56.31244385242462,33.25632166862488,69.90090441703796
106,5,10,153.2958984375,71.26784696154166,-22.04595351219177,-0.5072958469390869,-3.622594594955444,40.15205430984497,20.338441848754883,27.120152235031128
107,5,11,137.5763702392578,71.26784696154166,-58.811750411987305,-43.12135052680969,-9.617693901062012,-33.99378252029419,-21.51997804641724,-20.06561279296875
108,5,12,126.06587982177734,71.26784696154166,-35.89578878879547,-51.244221687316895,-9.451459169387816,-5.893307685852051,-49.83773946762085,-11.696974515914915
109,5,13,125.48875427246094,71.26784696154166,-14.993801832199097,-5.100190877914429,7.601503133773804,1.017928123474121,-17.851787328720093,-8.699049711227417
110,5,14,124.63038635253906,71.26784696154166,31.870795786380768,33.40692722797394,36.72778916358948,54.42694354057312,-2.3094242811203003,42.63531231880188
111,5,15,124.0030517578125,71.26784696154166,83.90756368637085,95.5627498626709,111.15031743049622,120.25522011518478,50.23667049407959,102.2790151834488
112,5,16,117.6517105102539,71.26784696154166,161.1068663597107,164.51823663711548,156.6756145954132,193.28639483451843,97.60698011517523,143.70811009407043
113,5,17,136.77047729492188,71.26784696154166,170.7469835281372,170.8314151763916,148.56986618041992,192.52312660217285,149.2247884273529,148.31664562225342
114,5,18,145.6184539794922,71.26784696154166,174.19988465309143,170.11320757865906,153.11577081680298,155.17190289497375,138.4093018770218,170.08513402938843
115,5,19,155.0782928466797,71.26784696154166,197.6013731956482,186.31245708465576,171.65524554252625,155.1774537563324,151.51238191127777,169.43462896347046
116,5,20,165.37283325195312,71.26784696154166,203.419456243515,190.527051448822,173.31389236450195,193.83597588539124,194.4945305585861,199.73493480682373
117,5,21,175.13331604003906,71.26784696154166,195.9448049068451,195.02971947193143,174.35652613639832,190.0626130104065,213.18744206428528,201.08501505851743
118,5,22,174.0373077392578,71.26784696154166,199.991952419281,157.37301522493362,178.19087207317352,180.85726523399356,200.2504951953888,191.18613743782043
119,5,23,153.60806274414062,71.26784696154166,179.62468600273132,184.70843744277957,182.91630935668945,200.36799538135529,212.9346581697464,175.961110830307
120,6,0,152.4560546875,80.61506569283334,181.0360145568848,168.48672652244568,163.99089312553406,160.13775634765625,193.7580406665802,166.18540382385254
121,6,1,138.72772216796875,80.61506569283334,161.15819370746613,156.70652151107788,178.17949271202087,161.76176738739014,214.63526105880737,164.80374264717102
122,6,2,137.83441162109375,80.61506569283334,161.09645128250122,178.63237261772156,164.70875716209412,202.06806445121765,144.6794159412384,168.8768482208252
123,6,3,149.3118133544922,80.61506569283334,155.355903506279,151.65630686283112,144.23206305503845,142.97578930854797,182.189689040184,159.97202920913696
124,6,4,146.6134033203125,80.61506569283334,164.97404885292053,183.58845901489255,153.6774384975433,173.58641242980957,136.4495792388916,177.8546999692917
125,6,5,155.51785278320312,80.61506569283334,158.07094383239746,181.416162610054,169.32460761070251,188.94406604766849,152.39976108074188,165.93797934055328
126,6,6,161.38804626464844,80.61506569283334,178.17980194091797,181.1795597076416,161.96347379684448,189.26014626026156,161.75232994556427,201.91148400306705
127,6,7,174.09414672851562,80.61506569283334,135.4133756160736,142.1208873987198,116.3339616060257,133.46504890918732,126.28137147426604,127.99048614501952
128,6,8,159.6364288330078,80.61506569283334,88.14104437828064,92.72693371772766,86.05606627464294,76.68155586719513,110.11061584949492,105.32990252971648
129,6,9,151.83953857421875,80.61506569283334,44.24732220172882,41.47050619125366,44.04572570323944,69.91541731357574,38.23453187942505,53.9449634552002
130,6,10,134.30665588378906,80.61506569283334,5.353830814361572,31.08929121494293,24.98452627658844,35.804548382759094,30.81420636177063,23.528467297554016
131,6,11,123.1189193725586,80.61506569283334,-3.505489587783813,0.9906795024871826,11.002511262893677,36.313663482666016,13.248998403549194,28.533071517944336
132,6,12,112.0652847290039,80.61506569283334,-23.40779590606689,-14.330681324005129,-14.906586289405825,27.00070333480835,21.13654148578644,-12.676685810089111
133,6,13,108.7978973388672,80.61506569283334,32.74244403839111,29.03866219520569,40.207321524620056,64.29884433746338,40.471670269966125,51.946587800979614
134,6,14,95.2704849243164,80.61506569283334,34.447858452796936,43.53987991809845,67.35511422157288,68.72581112384796,90.70688033103944,43.31739509105682
135,6,15,103.6544952392578,80.61506569283334,126.38810521364212,104.77939677238464,120.15019869804382,133.90734124183655,137.7724233865738,99.77506828308104
136,6,16,121.85956573486328,80.61506569283334,132.82097426056862,156.53039121627808,141.59893465042114,146.5027379989624,169.11531883478165,131.00086325407028
137,6,17,114.23497772216795,80.61506569283334,150.2257730960846,130.52931356430054,136.25591433048248,166.70378875732422,164.0881770849228,153.2401111125946
138,6,18,123.0033187866211,80.61506569283334,138.0908409357071,147.77182269096377,145.17202711105347,150.34852170944214,181.4588965177536,155.13695812225342
139,6,19,119.652099609375,80.61506569283334,161.91608560085297,155.9349149465561,154.0457148551941,150.72959780693054,188.95040547847748,161.6730978488922
140,6,20,129.43292236328125,80.61506569283334,182.38853406906128,167.41370964050293,163.2823555469513,144.35598808526993,177.95741379261017,180.14053344726562
141,6,21,133.1992645263672,80.61506569283334,161.2752098441124,167.9084056019783,170.14250004291534,165.41061878204346,183.7411089539528,182.2082507610321
142,6,22,133.4457244873047,80.61506569283334,182.8242474794388,164.7828744649887,147.01316452026367,124.87453579902648,150.65082836151123,150.89361000061035
143,6,23,130.42141723632812,80.61506569283334,155.98002579808235,167.48072600364685,168.19615519046783,157.08528220653534,131.41322207450867,155.59958171844482
144,7,0,130.08815002441406,106.18141793066668,179.0541125535965,158.13921689987183,157.59061861038208,192.38358759880063,110.78388138115406,166.4415991306305
145,7,1,141.79922485351562,106.18141793066668,162.6297106742859,184.12771224975583,191.67446327209475,192.77198576927185,81.08949348330498,182.8315851688385
146,7,2,142.0665283203125,106.18141793066668,175.46699595451355,166.80089408159256,175.03133082389832,193.82616555690765,83.1230653822422,196.1837472915649
147,7,3,152.5546417236328,106.18141793066668,176.24140053987503,177.6769082546234,202.1289808750153,212.62618350982663,139.3538139462471,182.1407618522644
148,7,4,157.4105682373047,106.18141793066668,178.4283401966095,179.5296391248703,173.6632780432701,202.04875659942627,172.47746539115906,190.7699643373489
149,7,5,165.06637573242188,106.18141793066668,186.1337208747864,179.30995666980743,202.6347362995148,198.85988128185272,214.2550859451294,199.0479600429535
150,7,6,179.61383056640625,106.18141793066668,184.57398623228076,190.1599689722061,207.3331201076508,189.95108580589292,176.05204319953918,191.4805247783661
151,7,7,184.21511840820312,106.18141793066668,176.24753141403198,181.3394376039505,162.5229490995407,165.96491861343384,198.21968507766724,189.12137687206268
152,7,8,175.0878448486328,106.18141793066668,181.9718117713928,172.7391706109047,162.93720048666,178.1753315925598,176.4152830839157,200.91868317127228
153,7,9,177.9656219482422,106.18141793066668,168.36563920974731,162.36684679985046,137.58398699760437,141.67323642969131,168.31210577487946,165.9919192790985
154,7,10,174.0074005126953,106.18141793066668,143.7328119277954,161.59937000274658,133.09287756681442,152.81613969802856,119.41038662195206,119.3538230061531
155,7,11,154.79071044921875,106.18141793066668,90.3351185321808,101.28242248296738,115.6367557644844,141.03530871868134,93.85044085979462,125.0145514011383
156,7,12,146.56558227539062,106.18141793066668,93.28527116775513,111.01344323158264,99.58035576343536,137.22461533546448,98.29035705327988,88.89405250549316
157,7,13,127.20040130615234,106.18141793066668,91.2805106639862,134.17136198282242,119.5872733592987,152.1542557477951,115.20516115427016,121.40616965293884
158,7,14,125.90459442138672,106.18141793066668,118.6646053791046,142.49527823925018,128.61796161532402,152.865239828825,137.15137426555157,141.06310415267944
159,7,15,130.93768310546875,106.18141793066668,142.06643496453762,134.15898406505585,157.7491067647934,162.2699933052063,153.8293617963791,159.3950233459473
160,7,16,133.55392456054688,106.18141793066668,163.8208553791046,168.35454845428467,171.36618280410767,171.8750228881836,171.3743423819542,151.61089062690735
161,7,17,139.28176879882812,106.18141793066668,167.21550488471985,154.21521949768066,153.1584016084671,172.48942685127258,187.86051213741305,157.82409691810608
162,7,18,140.7870635986328,106.18141793066668,168.56155288219452,157.7523591518402,158.8994619846344,147.18160462379456,201.24386286735532,155.3013846874237
163,7,19,141.45965576171875,106.18141793066668,157.83009839057922,183.37704801559448,175.9138661623001,181.10442781448364,217.9800621271133,176.5531222820282
164,7,20,160.4430694580078,106.18141793066668,176.5109372138977,192.37097239494324,206.07131707668304,179.39388513565063,243.9188182353973,167.09930515289307
165,7,21,164.53311157226562,106.18141793066668,197.29600977897644,156.47696816921234,201.6107712984085,190.89949536323547,244.27759408950809,181.65029668807983
166,7,22,161.48191833496094,106.18141793066668,177.272021651268,162.6413893699646,160.24126970767975,183.9211449623108,211.6265857219696,169.7063788175583
167,7,23,148.6255340576172,106.18141793066668,188.80554389953613,139.0790090560913,182.13409185409543,168.4828770160675,229.7706422805786,182.97424149513245
168,8,0,142.51731872558594,92.26443310588331,176.77078413963318,138.09001022577286,194.8671720027924,170.41069769859314,236.2246608734131,179.21673226356506
169,8,1,134.21669006347656,92.26443310588331,169.48940253257751,159.00131356716156,170.61791229248047,164.49062824249268,226.8847246170044,173.0327069759369
170,8,2,132.75173950195312,92.26443310588331,179.44698107242584,150.021986246109,180.47843194007876,176.0708613395691,228.6759054660797,167.3486475944519
171,8,3,137.8254852294922,92.26443310588331,174.37901306152344,160.37009286880493,191.86197900772092,185.6201627254486,178.2061858177185,158.9398787021637
172,8,4,144.0221405029297,92.26443310588331,192.5528326034546,232.19141459465027,170.0955102443695,194.31000447273252,184.65072572231293,196.89677810668945
173,8,5,161.22552490234375,92.26443310588331,161.431223154068,197.56059455871585,170.0179122686386,171.38587880134585,161.22997850179672,184.40469241142276
174,8,6,167.2251739501953,92.26443310588331,193.4067599773407,211.3623616695404,172.03004038333893,184.483416557312,199.27347347140312,208.4104256629944
175,8,7,185.55116271972656,92.26443310588331,150.5384948849678,174.03001368045807,138.95445626974106,172.65166413784027,168.0315362215042,193.0071860551834
176,8,8,182.8270721435547,92.26443310588331,169.8996102809906,124.55921733379364,84.33977425098419,128.81230914592743,121.8694806098938,158.43419790267944
177,8,9,169.4810028076172,92.26443310588331,62.43728458881378,62.42429554462433,63.57903420925141,95.89176404476166,94.37310898303986,95.85446488857268
178,8,10,147.79721069335938,92.26443310588331,2.12146520614624,24.59132981300354,-4.079257011413574,25.772736430168152,26.33049511909485,29.66602349281311
179,8,11,126.99063110351562,92.26443310588331,-26.04749703407288,-20.48235034942627,31.9879686832428,44.83086371421814,17.057042837142944,37.05323219299317
180,8,12,129.30018615722656,92.26443310588331,2.2470552921295166,-7.035952091217041,22.053152918815613,-0.557805061340332,22.51837706565857,17.257805705070496
181,8,13,112.25940704345705,92.26443310588331,-25.048254370689392,1.255313515663147,18.96635317802429,7.413641333580017,4.718789577484131,19.95966339111328
182,8,14,98.85592651367188,92.26443310588331,48.43913435935974,27.920637607574463,66.59032893180847,62.06224703788757,40.4734799861908,49.823644399642944
183,8,15,104.83612823486328,92.26443310588331,102.59169042110445,112.59157383441924,120.28773891925812,148.22994297742844,75.00704222917557,115.7267970442772
184,8,16,120.60801696777344,92.26443310588331,169.72029674053192,173.74661135673523,167.9902960062027,181.96412152051929,143.39155036211014,154.34211993217468
185,8,17,144.06698608398438,92.26443310588331,195.9120444059372,179.0863971710205,184.16504096984863,197.91638815402985,198.830584526062,193.0673496723175
186,8,18,162.19166564941406,92.26443310588331,177.671058177948,194.50764679908752,157.14767456054688,177.18035292625427,150.73059833049774,158.0438106060028
187,8,19,152.83494567871094,92.26443310588331,236.3959589004517,219.6170814037323,202.2084242105484,215.03544569015503,248.78767263889316,197.2077119350433
188,8,20,190.2866058349609,92.26443310588331,203.65422010421756,219.791921377182,190.8801257610321,196.95918250083923,220.02512621879575,203.4515175819397
189,8,21,182.3501892089844,92.26443310588331,212.68596529960632,194.518091917038,175.9935680627823,187.56950330734253,213.9717228412628,195.5939283370972
190,8,22,160.35906982421875,92.26443310588331,196.0774314403534,180.02139151096344,179.06948900222778,177.3198642730713,210.40719163417816,200.18056106567383
191,8,23,141.70199584960938,92.26443310588331,175.6798436641693,147.4789507985115,170.00470626354218,178.06063866615295,181.70216464996335,165.1539707183838
192,9,0,130.04811096191406,88.72331906716666,156.99889934062958,140.8292317390442,169.16946053504944,178.09337162971497,197.11638948321345,154.76060390472412
193,9,1,125.66195678710938,88.72331906716666,171.25416672229767,130.65299606323242,185.9739053249359,161.27360045909882,207.18746089935303,140.17854189872742
194,9,2,130.3159942626953,88.72331906716666,160.7519121170044,171.61704969406128,144.77239882946014,184.8839988708496,171.85441729426384,172.76918363571167
195,9,3,141.6019744873047,88.72331906716666,171.71329283714294,180.69334530830383,195.25858640670776,185.32673859596247,192.2016203403473,178.4372787475586
196,9,4,148.3688201904297,88.72331906716666,173.56120944023132,200.9479511976242,184.3307638168335,197.1315245628357,171.69753217697144,208.33257746696472
197,9,5,163.81199645996094,88.72331906716666,168.92224621772766,181.601170539856,156.6216448545456,175.96652573347092,143.97395086288452,179.26253938674927
